Wavelength_nm,Reflection
400.0,0.8103759192880968
400.01,0.8068249010705566
400.02,0.74626040502154
400.03,0.5636512843683801
400.04,0.16409799566685657
400.05,0.22920083280994102
400.06,0.6056291609027035
400.07,0.7610608489478216
400.08,0.8105572429875939
400.09,0.8067648671282274
400.1,0.74588248343023
400.11,0.5625504207279173
400.12,0.1626172748273295
400.13,0.23066364192772454
400.14,0.6064576917422597
400.15,0.7613668648268955
400.16,0.8106744781216536
400.17,0.8067932038594867
400.18,0.7458348333215391
400.19,0.5623789479553566
400.2,0.16236812867756878
400.21,0.23071211985659668
400.22,0.6064896249443604
400.23,0.7613950987155054
400.24,0.8107287194196743
400.25,0.8069106604535744
400.26,0.7461185092379554
400.27,0.5631389836754702
400.28,0.16334953153593357
400.29,0.22934453861025983
400.3,0.6057247331538343
400.31,0.761145255661976
400.32,0.8107195471038774
400.33,0.8071163702684689
400.34,0.7467311250859733
400.35,0.5648241902729971
400.36,0.16557657782144355
400.37,0.22656546122178406
400.38,0.6041551616050586
400.39,0.7606140677524174
400.4,0.8106450289586016
400.41,0.8074078615689716
400.42,0.7476668924146862
400.43,0.5674198225500318
400.44,0.16907957312911787
400.45,0.22238658318260252
400.46,0.6017653283445598
400.47,0.7597952484008281
400.48,0.8105017136512104
400.49,0.8077810800871358
400.5,0.7489167102401986
400.51,0.5709028529292596
400.52,0.1739020572160344
400.53,0.21682852338219072
400.54,0.5985317327986089
400.55,0.7586794014960632
400.56,0.8102846146825738
400.57,0.8082304225503025
400.58,0.7504683040774184
400.59,0.5752421822860347
400.6,0.180097778537868
400.61,0.20992363192665298
400.62,0.5944226757037879
400.63,0.757253882768375
400.64,0.8099871838399244
400.65,0.8087487798386901
400.66,0.7523064105827002
400.67,0.5803989469528614
400.68,0.18772666834645507
400.69,0.20171990706983373
400.7,0.5893978965788578
400.71,0.7555026093910227
400.72,0.8096012725027524
400.73,0.8093275879156792
400.74,0.7544130029111814
400.75,0.5863269332748972
400.76,0.19684990855679774
400.77,0.1922861242909039
400.78,0.5834081394350366
400.79,0.7534058123689882
400.8,0.8091170786058731
400.81,0.8099568842454188
400.82,0.7567675508330963
400.83,0.5929731092611987
400.84,0.20752425290485277
400.85,0.1817182675136441
400.86,0.5763946650632581
400.87,0.7509397247170031
400.88,0.808523076464686
400.89,0.810625366996127
400.9,0.7593473086642429
400.91,0.6002782792579844
400.92,0.21979584278910475
400.93,0.1701473010732836
400.94,0.5682887395618301
400.95,0.7480761966210423
400.96,0.8078059260186533
400.97,0.8113204539733351
400.98,0.7621276233430397
400.99,0.6081778615370856
401.0,0.23369384901403467
401.01,0.15774821287035215
401.02,0.5590111462415791
401.03,0.7447822268903572
401.04,0.8069503573048392
