wavelength_um,reflectance_original,reflectance_filtered
0.2,0.8697834161512611,0.630086362361908
0.20002000100005002,0.8698162094459386,0.6281638145446777
0.20004000200010003,0.8698219839814372,0.6264851689338684
0.20006000300015,0.8698017703605054,0.6250445246696472
0.2000800040002,0.8697563081385129,0.6238320469856262
0.20010000500025002,0.8696860480186768,0.622835099697113
0.20012000600030003,0.869591153010427,0.6220388412475586
0.20014000700035003,0.8694714985949242,0.6214272975921631
0.20016000800040004,0.8693266719129342,0.6209838390350342
0.20018000900045002,0.869155969974593,0.6206913590431213
0.20020001000050003,0.8689583968441976,0.620532751083374
0.20022001100055004,0.868732659739829,0.6204904317855835
0.20024001200060004,0.8684771639535359,0.6205466389656067
0.20026001300065005,0.8681900064626767,0.6206830739974976
0.20028001400070006,0.8678689680789112,0.620880663394928
0.20030001500075004,0.8675115039433554,0.6211199760437012
0.20032001600080004,0.8671147321439104,0.6213812232017517
0.20034001700085005,0.8666754201787327,0.6216445565223694
0.20036001800090006,0.8661899689680155,0.6218910217285156
0.20038001900095007,0.8656543940477639,0.6221030354499817
0.20040002000100007,0.8650643035325264,0.622265636920929
0.20042002100105005,0.8644148723732513,0.6223669052124023
0.20044002200110006,0.8637008123651034,0.6223993301391602
0.20046002300115007,0.8629163372649813,0.6223600506782532
0.20048002400120007,0.86205512230857,0.6222514510154724
0.20050002500125008,0.861110257276353,0.6220811009407043
0.2005200260013001,0.8600741921440763,0.6218615174293518
0.20054002700135007,0.8589386741915561,0.6216092705726624
0.20056002800140008,0.8576946752600355,0.6213439106941223
0.20058002900145008,0.8563323076206358,0.6210866570472717
0.2006000300015001,0.8548407266870017,0.6208586692810059
0.2006200310015501,0.8532080184425946,0.6206793189048767
0.2006400320016001,0.8514210691318579,0.6205646395683289
0.20066003300165008,0.8494654142849956,0.6205258965492249
0.2006800340017001,0.8473250636374422,0.6205683946609497
0.2007000350017501,0.8449822978424575,0.6206911206245422
0.2007200360018001,0.842417432118692,0.6208862066268921
0.2007400370018501,0.8396085410610016,0.6211398243904114
0.2007600380019001,0.8365311377183811,0.6214327812194824
0.2007800390019501,0.833157798725725,0.621742308139801
0.2008000400020001,0.8294577256937157,0.6220435500144958
0.20082004100205011,0.8253962311763756,0.6223117709159851
