model,epoch,metric,value,best_epoch,best_clean_val_rmse_nm
clean__base_scalar,1,train_loss_scaled,0.036530939108871854,49,14.999657850998778
clean__base_scalar,2,train_loss_scaled,0.012832368622177067,49,14.999657850998778
clean__base_scalar,3,train_loss_scaled,0.012625786563374247,49,14.999657850998778
clean__base_scalar,4,train_loss_scaled,0.01290046735962589,49,14.999657850998778
clean__base_scalar,5,train_loss_scaled,0.01263123399630907,49,14.999657850998778
clean__base_scalar,6,train_loss_scaled,0.012567791217975587,49,14.999657850998778
clean__base_scalar,7,train_loss_scaled,0.012551255819772752,49,14.999657850998778
clean__base_scalar,8,train_loss_scaled,0.01259653531708697,49,14.999657850998778
clean__base_scalar,9,train_loss_scaled,0.012351873316239284,49,14.999657850998778
clean__base_scalar,10,train_loss_scaled,0.0121416661780519,49,14.999657850998778
clean__base_scalar,11,train_loss_scaled,0.012240728999715076,49,14.999657850998778
clean__base_scalar,12,train_loss_scaled,0.012107956491300175,49,14.999657850998778
clean__base_scalar,13,train_loss_scaled,0.012277405347062889,49,14.999657850998778
clean__base_scalar,14,train_loss_scaled,0.012331326575687557,49,14.999657850998778
clean__base_scalar,15,train_loss_scaled,0.012191261994563161,49,14.999657850998778
clean__base_scalar,16,train_loss_scaled,0.012166878093050263,49,14.999657850998778
clean__base_scalar,17,train_loss_scaled,0.012041324165015006,49,14.999657850998778
clean__base_scalar,18,train_loss_scaled,0.012155741079052599,49,14.999657850998778
clean__base_scalar,19,train_loss_scaled,0.012195370394624382,49,14.999657850998778
clean__base_scalar,20,train_loss_scaled,0.012174180661566628,49,14.999657850998778
clean__base_scalar,21,train_loss_scaled,0.01216770239072139,49,14.999657850998778
clean__base_scalar,22,train_loss_scaled,0.012146079133341118,49,14.999657850998778
clean__base_scalar,23,train_loss_scaled,0.012150431924455427,49,14.999657850998778
clean__base_scalar,24,train_loss_scaled,0.012117328658789785,49,14.999657850998778
clean__base_scalar,25,train_loss_scaled,0.012136868677396906,49,14.999657850998778
clean__base_scalar,26,train_loss_scaled,0.01207763713027269,49,14.999657850998778
clean__base_scalar,27,train_loss_scaled,0.012115256401394974,49,14.999657850998778
clean__base_scalar,28,train_loss_scaled,0.012076312330029194,49,14.999657850998778
clean__base_scalar,29,train_loss_scaled,0.012103337394349862,49,14.999657850998778
clean__base_scalar,30,train_loss_scaled,0.01205857717420538,49,14.999657850998778
clean__base_scalar,31,train_loss_scaled,0.012092409755619074,49,14.999657850998778
clean__base_scalar,32,train_loss_scaled,0.012039767885902908,49,14.999657850998778
clean__base_scalar,33,train_loss_scaled,0.012072339248110964,49,14.999657850998778
clean__base_scalar,34,train_loss_scaled,0.012049819371198846,49,14.999657850998778
clean__base_scalar,35,train_loss_scaled,0.012063938481905349,49,14.999657850998778
clean__base_scalar,36,train_loss_scaled,0.01203674457581538,49,14.999657850998778
clean__base_scalar,37,train_loss_scaled,0.012056555860799704,49,14.999657850998778
clean__base_scalar,38,train_loss_scaled,0.012032243685208797,49,14.999657850998778
clean__base_scalar,39,train_loss_scaled,0.012047184520152562,49,14.999657850998778
clean__base_scalar,40,train_loss_scaled,0.012016831689935142,49,14.999657850998778
clean__base_scalar,41,train_loss_scaled,0.012039071118849201,49,14.999657850998778
clean__base_scalar,42,train_loss_scaled,0.012009021914257957,49,14.999657850998778
clean__base_scalar,43,train_loss_scaled,0.012030841629071911,49,14.999657850998778
clean__base_scalar,44,train_loss_scaled,0.011997011539907655,49,14.999657850998778
