,L_fft_um,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,fft_spectral_centroid_um,fringe_visibility_global,fringe_contrast_std
L_fft_um,1.0,0.06870957641826647,0.1771575715527821,0.1855886964646646,0.6106806558304523,0.2854339601127341,0.10463981620007377,-0.26897488958652876
PSS_nominal_nm,0.06870957641826647,1.0,-0.16150764815151394,0.03260391264980346,-0.078188289074897,0.22888835235280855,-0.045584580081504116,0.20176314361902284
HSQ_nominal_nm,0.1771575715527821,-0.16150764815151394,1.0,-0.05416772674328624,0.07113059623849656,0.2891742621581418,-0.06714464918023025,-0.1989681302192021
SOC_nominal_nm,0.1855886964646646,0.03260391264980346,-0.05416772674328624,1.0,0.05681636776419296,0.14677144964692612,-0.05616092663504836,-0.6591688357068973
TiO2_nominal_nm,0.6106806558304523,-0.078188289074897,0.07113059623849656,0.05681636776419296,1.0,0.3245064071703019,0.3554941197268451,-0.3264735706862406
fft_spectral_centroid_um,0.2854339601127341,0.22888835235280855,0.2891742621581418,0.14677144964692612,0.3245064071703019,1.0,-0.008105223617439919,-0.27982770079500163
fringe_visibility_global,0.10463981620007377,-0.045584580081504116,-0.06714464918023025,-0.05616092663504836,0.3554941197268451,-0.008105223617439919,1.0,-0.005371872107408792
fringe_contrast_std,-0.26897488958652876,0.20176314361902284,-0.1989681302192021,-0.6591688357068973,-0.3264735706862406,-0.27982770079500163,-0.005371872107408792,1.0
