mode,success,cost,optimizer_robust_cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,8.863592024e-20,0,9.923928447e-12,1.409912574e-12,5.130337257e-10,5,1.839464978e-07,17157.75627,1000,1.136868377e-13,30,2.022204626e-11,10,-6.176392731e-11,40,5.128697467e-11,40,-8.569145393e-12
D,True,3.248261181e-18,0,6.007644372e-11,5.09007563e-12,4.734860647e-10,7,2.81634989e-06,23201.05501,1000,2.273736754e-13,30,3.937607573e-09,9.999999996,-3.943718241e-09,40,7.706830729e-10,40,-4.490914307e-10
joint,True,3.539869775e-18,0,4.434629995e-11,2.813162589e-12,4.689998776e-10,6,5.019296432e-06,19304.4231,1000,3.410605132e-13,30,1.848260212e-09,9.999999998,-1.531370586e-09,40,-1.136868377e-12,40,-2.205950977e-10
