mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,8.863592024e-20,0,9.923928447e-12,5,1.839464978e-07,`xtol` termination condition is satisfied.,8,4.663489382e-05,0,4.28367376e-12,1000,1.136868377e-13,30,2.022204626e-11,10,-6.176392731e-11,40,5.128697467e-11,40,-8.569145393e-12,1000.000286,30.39614974,9.90129307,39.74683685,39.89481734
I,2,True,9.020167847e-20,0,1.001119809e-11,5,1.494955882e-07,`xtol` termination condition is satisfied.,27,0.0001168658399,7.22505108e-12,3.547398545e-12,1000,1.136868377e-13,30,2.656719289e-11,10,4.772715556e-11,40,-3.398525905e-11,40,-2.546585165e-11,1000.000004,30.22008915,8.887230561,40.55715382,40.21581513
I,3,True,9.139659252e-20,0,1.007728979e-11,5,4.566717555e-07,`xtol` termination condition is satisfied.,10,5.614783966e-05,1.069328026e-11,1.481464687e-11,1000,1.136868377e-13,30,2.739142246e-11,10,-2.298641277e-10,40,1.674891337e-10,40,2.098943241e-11,999.9999458,28.58976541,10.88778335,40.12615323,40.24380037
I,4,True,9.26769389e-20,0,1.014762911e-11,5,2.374110296e-07,`xtol` termination condition is satisfied.,5,4.007383053e-05,1.221047414e-11,8.209246614e-12,1000,1.136868377e-13,30,9.688250202e-12,10,1.274802486e-10,40,-8.683542774e-11,40,-3.626610123e-11,1000.000134,30.21389361,9.838970706,40.00527089,39.93817559
I,5,True,1.208214798e-19,0,1.158646144e-11,5,1.638686142e-06,`xtol` termination condition is satisfied.,6,4.065287512e-05,1.582676381e-11,1.992370511e-11,1000,0,30,2.866684667e-11,10,-3.076774391e-10,40,2.272102506e-10,40,3.798561465e-11,1000.000064,29.84584809,10.05476327,40.12896817,39.96595836
I,6,True,1.239217426e-19,0,1.173417339e-11,6,1.731314631e-06,`xtol` termination condition is satisfied.,23,0.0001082976852,1.677778756e-11,2.088685291e-11,1000,0,30,3.426592343e-11,10,-3.242295321e-10,40,2.353317541e-10,40,3.830535888e-11,999.9995678,28.79141365,9.542535367,41.1814013,40.41094204
I,7,True,1.29010699e-19,0,1.197268646e-11,5,1.222959302e-06,`xtol` termination condition is satisfied.,4,2.997812547e-05,3.232459282e-11,3.642191768e-11,1000,0,30,4.824229904e-11,9.999999999,-5.674181125e-10,40,4.068141379e-10,40,7.779021871e-11,999.9998569,29.97820379,9.720425548,40.28256402,40.03774696
I,8,True,1.298772105e-19,0,1.201282696e-11,5,1.337252113e-06,`xtol` termination condition is satisfied.,14,6.790767825e-05,3.901401073e-11,4.311381042e-11,1000,1.136868377e-13,30,5.855582685e-11,9.999999999,-6.747491454e-10,40,4.76546802e-10,40,9.231371223e-11,999.9995517,29.35882266,9.612781442,40.84071195,40.27417066
I,9,True,1.502392458e-19,0,1.292023589e-11,6,1.252660732e-06,`xtol` termination condition is satisfied.,18,9.636010716e-05,4.710270139e-11,4.307180184e-11,1000,1.136868377e-13,30,6.568967592e-12,10,6.685247911e-10,40,-4.786571139e-10,40,-1.330704436e-10,999.9997509,30.44423529,9.980213237,39.84737914,39.90904825
I,10,True,1.608057661e-19,0,1.336686476e-11,6,1.611288911e-06,`xtol` termination condition is satisfied.,9,4.908957137e-05,4.77345781e-11,4.386946001e-11,1000,1.136868377e-13,30,1.148698914e-10,10,6.428102495e-10,40,-5.231513001e-10,40,-1.583799758e-10,1000.000078,30.87014556,9.947360844,39.59349758,39.75512156
