,L_fft_um,H_peak,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,L_fft_um*PSS_nominal_nm,L_fft_um*HSQ_nominal_nm,L_fft_um*SOC_nominal_nm,L_fft_um*TiO2_nominal_nm
L_fft_um,1.0,-0.26008765240944637,-0.047755653320307304,0.2252422876279173,0.137201615829557,0.5431533786897107,-0.04743458500032747,0.22560055388132835,0.13792518435487253,0.5434789438394864
H_peak,-0.26008765240944637,1.0,0.32123626666534766,0.31446358907372646,-0.04123314627681377,-0.5603032935226208,0.3211548746693808,0.314353270826516,-0.041417898788713436,-0.5602835105531938
PSS_nominal_nm,-0.047755653320307304,0.32123626666534766,1.0,-0.20710488651217185,-0.17181936328559896,-0.20189936306065367,0.9999999376987186,-0.20710524490130214,-0.17182379723952512,-0.2018662729442011
HSQ_nominal_nm,0.2252422876279173,0.31446358907372646,-0.20710488651217185,1.0,-0.05434204403442174,0.18982970654668452,-0.2070359816013049,0.9999999224523083,-0.0541664446615193,0.18987691964228132
SOC_nominal_nm,0.137201615829557,-0.04123314627681377,-0.17181936328559896,-0.05434204403442174,1.0,0.019966966140224158,-0.17176350759401596,-0.05428008047632347,0.9999997228651184,0.02002136216402318
TiO2_nominal_nm,0.5431533786897107,-0.5603032935226208,-0.20189936306065367,0.18982970654668452,0.019966966140224158,1.0,-0.2017250558523005,0.19001238450508035,0.0203613289289265,0.9999999164252348
L_fft_um*PSS_nominal_nm,-0.04743458500032747,0.3211548746693808,0.9999999376987186,-0.2070359816013049,-0.17176350759401596,-0.2017250558523005,1.0,-0.20703622874460867,-0.1717677142683745,-0.20169186366737288
L_fft_um*HSQ_nominal_nm,0.22560055388132835,0.314353270826516,-0.20710524490130214,0.9999999224523083,-0.05428008047632347,0.19001238450508035,-0.20703622874460867,1.0,-0.05410422503030491,0.1900597216935229
L_fft_um*SOC_nominal_nm,0.13792518435487253,-0.041417898788713436,-0.17182379723952512,-0.0541664446615193,0.9999997228651184,0.0203613289289265,-0.1717677142683745,-0.05410422503030491,1.0,0.020415961617445865
L_fft_um*TiO2_nominal_nm,0.5434789438394864,-0.5602835105531938,-0.2018662729442011,0.18987691964228132,0.02002136216402318,0.9999999164252348,-0.20169186366737288,0.1900597216935229,0.020415961617445865,1.0
