feature_a,feature_b,corr,abs_corr
PSS_nominal_nm,L_fft_um*PSS_nominal_nm,0.9999992911261761,0.9999992911261761
HSQ_nominal_nm,L_fft_um*HSQ_nominal_nm,0.9999985680927297,0.9999985680927297
SOC_nominal_nm,L_fft_um*SOC_nominal_nm,0.9999968828734337,0.9999968828734337
TiO2_nominal_nm,L_fft_um*TiO2_nominal_nm,0.9999989186731418,0.9999989186731418
