wavelength_nm,R_no_gap_percent,R_1mm_air_gap_only_percent,R_sio2_reference_1mm_air_gap_percent
400.0,18.645239167070088,18.64523916707008,6.016626196095559
400.02,18.642507555570983,18.64250755557098,33.07506658468145
400.04,18.639776061755665,18.63977606175568,39.051592212799655
400.06,18.637044685784286,18.637044685784264,17.39176946301218
400.08,18.634313427816874,18.634313427816885,6.008421702481973
400.1,18.631582288013444,18.631582288013455,33.06307911217264
400.12,18.628851266533992,18.628851266533992,39.05471508778257
400.14,18.62612036353841,18.626120363538394,17.42201475663272
400.16,18.623389579186522,18.623389579186515,5.968836778759434
400.18,18.620658913638174,18.620658913638174,33.01856202438951
400.2,18.61792836705308,18.61792836705309,39.07093976809817
400.22,18.615197939590946,18.615197939590942,17.501706108565653
400.24,18.6124676314114,18.612467631411405,5.898290410155958
400.26,18.60973744267403,18.60973744267403,32.94125589951553
400.28,18.607007373538348,18.60700737353836,39.09993500920296
400.3,18.60427742416384,18.604277424163833,17.63084081383815
400.32,18.601547594709935,18.60154759470992,5.797629739678207
400.34,18.59881788533599,18.59881788533598,32.83068819982369
400.36,18.596088296201295,18.5960882962013,39.14115026946148
400.38,18.593358827465124,18.593358827465124,17.809404699083046
400.4,18.59062947928668,18.59062947928669,5.668144221728967
400.42,18.587900251825104,18.58790025182512,32.68617506705169
400.44,18.585171145239485,18.585171145239478,39.193816327388355
400.46,18.582442159688885,18.58244215968887,18.037355205405703
400.48,18.57971329533224,18.579713295332255,5.511586667434584
400.5,18.576984552328543,18.576984552328536,32.50682395345359
400.52,18.574255930836628,18.574255930836628,39.25694602290851
400.54,18.571527431015316,18.571527431015305,18.314598955456418
400.56,18.568799053023387,18.568799053023394,5.330200605316926
400.58,18.566070797019556,18.56607079701954,32.29153726559992
400.6,18.56334266316247,18.56334266316247,39.32933511833753
400.62,18.560614651610763,18.560614651610738,18.64096437306908
400.64,18.55788676252295,18.557886762522937,5.126753126497248
400.66,18.55515899605752,18.555158996057518,32.039017263704736
400.68,18.552431352372945,18.55243135237296,39.409563268305156
400.7,18.549703831627625,18.549703831627625,19.016170075287583
400.72,18.546976433979843,18.546976433979843,4.904572065530652
400.74,18.54424915958792,18.54424915958791,31.7477725452927
400.76,18.541522008610066,18.541522008610066,39.49599508016339
400.78,18.538794981204457,18.538794981204436,19.439789906612223
400.8,18.536068077529187,18.536068077529187,4.667585982221743
400.82,18.53334129774235,18.533341297742357,31.416126537869193
400.84,18.530614642001943,18.530614642001932,39.586781235452115
400.86,18.527888110465913,18.527888110465902,19.911215626441265
400.88,18.525161703292163,18.525161703292163,4.420364944759838
400.9,18.52243542063854,18.522435420638537,31.042228543736194
400.92,18.519709262662836,18.519709262662843,39.679859629230776
400.94,18.516983229522797,18.51698322952282,20.429618389206333
400.96,18.51425732137609,18.51425732137609,4.168159566900413
400.98,18.511531538380353,18.511531538380353,30.62406802358532
401.0,18.50880588069318,18.50880588069318,39.77295646888304
401.02,18.506080348472047,18.50608034847206,20.993910262481823
401.04,18.503354941874466,18.50335494187445,3.9169351355557667
401.06,18.5006296610578,18.50062966105782,30.15949297489235
401.08,18.49790450617947,18.497904506179463,39.863587256919224
401.1,18.49517947739672,18.495179477396714,21.602707102245567
401.12,18.492454574866823,18.492454574866823,3.673396990983461
401.14,18.489729798747014,18.489729798747014,29.64623346878473
401.16,18.48700514919438,18.48700514919438,39.94905756569359
401.18,18.484280626366033,18.48428062636603,22.254294133871312
401.2,18.481556230419,18.48155623041901,3.4450026358582395
401.22,18.478831961510263,18.478831961510263,29.0819316472794
401.24,18.47610781979676,18.47610781979675,40.02646349587241
401.26,18.473383805435333,18.47338380543534,22.946595564867618
401.28,18.47065991858285,18.470659918582825,3.2399554007721543
401.3,18.467936159395997,18.467936159396,28.464179769407128
401.32,18.46521252803158,18.465212528031568,40.092691698199566
401.34,18.46248902464618,18.46248902464618,23.677149474433595
401.36,18.459765649396413,18.459765649396417,3.067173971870522
401.38,18.45704240243885,18.457042402438837,27.79056821811142
401.4,18.45431928392998,18.454319283929966,40.144418830611286
401.42,18.451596294026203,18.451596294026203,24.443089077172132
401.44,18.448873432883953,18.448873432883946,2.9362317940275062
401.46,18.446150700659548,18.446150700659558,27.058745744960493
401.48,18.443428097509248,18.443428097509248,40.178110323501556
401.5,18.4407056235893,18.440705623589295,25.2411312452845
401.52,18.437983279055864,18.43798327905586,2.857260433229297
401.54,18.43526106406505,18.435261064065045,26.26649462685985
401.56,18.432538978772907,18.43253897877292,40.19001833745916
401.58,18.429817023335474,18.429817023335477,26.067572901008262
401.6,18.427095197908685,18.427095197908695,2.8408115601864337
401.62,18.424373502648443,18.424373502648432,25.411823818820455
401.64,18.421651937710596,18.421651937710603,40.1761788245568
401.66,18.418930503250916,18.418930503250927,26.91829556564288
401.68,18.416209199425186,18.41620919942519,2.8976734504416424
401.7,18.41348802638905,18.41348802638905,24.49308358501484
401.72,18.41076698429813,18.41076698429814,40.13240765062244
401.74,18.40804607330804,18.408046073308054,27.788777991790454
401.76,18.4053252935743,18.4053252935743,3.0386399038409966
401.78,18.40260464525234,18.40260464525234,23.50910541325588
401.8,18.399884128497586,18.3998841284976,40.054295807696114
401.82,18.397163743465413,18.397163743465423,28.674116420533725
401.84,18.394443490311133,18.394443490311147,3.2742323344048545
401.86,18.391723369189965,18.39172336918998,22.45937120610697
401.88,18.389003380257158,18.389003380257154,39.93720385103171
401.9,18.386283523667807,18.3862835236678,29.56905163716574
401.92,18.38356379957701,18.383563799577036,3.614379439127042
401.94,18.380844208139848,18.380844208139845,21.344215663935167
401.96,18.378124749511258,18.378124749511258,39.7762558420998
401.98,18.37540542384619,18.375405423846175,30.468001640783594
402.0,18.372686231299504,18.372686231299493,4.068063161829487
402.02,18.36996717202604,18.369967172026033,20.16506528242875
402.04,18.367248246180544,18.367248246180527,39.56633328145404
402.06,18.36452945391774,18.364529453917747,31.36509844829467
402.08,18.361810795392287,18.361810795392273,4.642944304393608
402.1,18.35909227075879,18.359092270758808,18.92471625362179
402.12,18.356373880171827,18.356373880171812,39.30206978724659
402.14,18.35365562378586,18.353655623785865,32.254227312237596
402.16,18.350937501755347,18.350937501755343,5.344985629162171
402.18,18.348219514234675,18.348219514234664,17.62765152247577
402.2,18.345501661378176,18.34550166137819,38.97784763788771
402.22,18.34278394334015,18.342783943340145,33.12906648330423
402.24,18.34006636027482,18.34006636027482,6.178094027034721
402.26,18.337348912336353,18.337348912336353,16.28039396509778
402.28,18.334631599678882,18.33463159967889,38.587797774468626
402.3,18.331914422456467,18.331914422456453,33.98312557823006
402.32,18.32919738082313,18.32919738082312,7.143805630208573
402.34,18.32648047493282,18.32648047493282,14.891887769842391
402.36,18.32376370493943,18.32376370493943,38.125805483480875
402.38,18.32104707099686,18.321047070996848,34.80978064151194
402.4,18.318330573258855,18.31833057325887,8.241038005519181
402.42,18.31561421187919,18.31561421187919,13.473893280878244
402.44,18.312897987011578,18.312897987011578,37.58552478856277
402.46,18.310181898809628,18.310181898809628,35.60230410248646
402.48,18.3074659474269,18.307465947426895,9.465931330179771
402.5,18.30475013301696,18.304750133016974,12.041371594998143
402.52,18.302034455733303,18.302034455733292,36.96040562024376
402.54,18.299318915729295,18.299318915729295,36.35388801699827
402.56,18.296603513158356,18.296603513158345,10.811795598862199
402.58,18.29388824817377,18.29388824817376,10.612824168117953
402.6,18.291173120928807,18.291173120928807,36.24373915083382
402.62,18.288458131576668,18.288458131576668,37.05765924083158
402.64,18.285743280270538,18.28574328027054,12.269173699994075
402.66,18.283028567163477,18.283028567163488,9.210540172860943
