nominal_wavelength_nm,stackrt_phase_wavelength_nm,frequency_hz,stackrt_Rp_t0,tmm_Rp,residual_stackrt_minus_tmm,abs_error
200.0,199.86163866666664,1500000000000000.0,0.8260995702623374,0.8260995702638738,-1.5364376437787541e-12,1.5364376437787541e-12
200.02000100005003,199.8816258298915,1499850007499625.0,0.8254747773834328,0.8254747773842079,-7.751577157932843e-13,7.751577157932843e-13
200.04000200010003,199.90161299311634,1499700044993251.0,0.8249795849157713,0.8249795849149918,7.794875855893224e-13,7.794875855893224e-13
200.06000300015,199.9216001563411,1499550112471882.2,0.8246167482121178,0.824616748211334,7.838174553853605e-13,7.838174553853605e-13
200.0800040002,199.941587319566,1499400209926525.8,0.824388275099433,0.8243882750986454,7.87592213669086e-13,7.87592213669086e-13
200.10000500025,199.9615744827908,1499250337348193.2,0.824295406940134,0.8242954069409222,-7.881473251813986e-13,7.881473251813986e-13
200.12000600030004,199.98156164601565,1499100494727899.5,0.8243386070092533,0.8243386070084661,7.872591467616985e-13,7.872591467616985e-13
200.14000700035004,200.0015488092405,1498950682056663.0,0.8245175564026092,0.8245175564033951,-7.859268791321483e-13,7.859268791321483e-13
200.16000800040004,200.0215359724653,1498800899325505.8,0.8248311575633336,0.8248311575633339,-3.3306690738754696e-16,3.3306690738754696e-16
200.18000900045,200.04152313569008,1498651146525453.5,0.8252775453129174,0.8252775453136947,-7.772671395400721e-13,7.772671395400721e-13
200.20001000050001,200.06151029891498,1498501423647534.8,0.8258541052427818,0.8258541052427818,0.0,0.0
200.22001100055004,200.08149746213977,1498351730682783.0,0.8265574991117013,0.8265574991117008,4.440892098500626e-16,4.440892098500626e-16
200.24001200060005,200.10148462536458,1498202067622234.5,0.8273836968035632,0.8273836968035624,7.771561172376096e-16,7.771561172376096e-16
200.26001300065005,200.12147178858945,1498052434456928.8,0.8283280143147653,0.828328014315508,-7.426281811717672e-13,7.426281811717672e-13
200.28001400070005,200.1414589518143,1497902831177909.5,0.8293851571031723,0.8293851571039039,-7.316369732279782e-13,7.316369732279782e-13
200.30001500075005,200.16144611503907,1497753257776224.5,0.8305492680705414,0.8305492680705415,-1.1102230246251565e-16,1.1102230246251565e-16
200.32001600080005,200.18143327826394,1497603714242923.5,0.8318139793671935,0.8318139793664898,7.036593530074242e-13,7.036593530074242e-13
200.34001700085005,200.20142044148872,1497454200569061.0,0.8331724672107367,0.8331724672114266,-6.898925875020723e-13,6.898925875020723e-13
200.36001800090006,200.22140760471356,1497304716745695.0,0.8346175087850737,0.8346175087850741,-4.440892098500626e-16,4.440892098500626e-16
200.38001900095006,200.24139476793843,1497155262763886.8,0.8361415403602074,0.8361415403595519,6.554756737386924e-13,6.554756737386924e-13
