mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,252.1752127,170.3924678,0.5293341863,14,15.54811811,`xtol` termination condition is satisfied.,13,0.2511578357,0,0.7264016765,999.9249263,-0.07507373343,39.99998149,9.999981492,9.96544897,-0.03455102985,30.0000002,-9.999999804,43.30483101,3.304831008,999.9214388,39.6496543,12.87962923,30.04192526,42.71347486
I,2,True,252.1776906,170.3924767,0.529336787,21,0.1462049054,`xtol` termination condition is satisfied.,17,0.2513407808,7.247524326e-05,0.7263864794,999.9249304,-0.07506964829,40,10,9.965075945,-0.03492405474,30,-10,43.30343597,3.303435972,999.9202071,39.97747178,12.91891964,30.07800019,42.86559736
I,3,True,252.1779084,170.3924764,0.5293370155,19,0.2117830952,`xtol` termination condition is satisfied.,18,0.2513414438,7.101769722e-05,0.7263869402,999.9249303,-0.07506968198,40,10,9.965044884,-0.03495511554,30,-10,43.30347612,3.303476118,999.9216947,39.6027569,12.76130539,30.01295218,42.79751541
I,4,True,252.1779254,170.3924764,0.5293370333,21,0.2022553324,`xtol` termination condition is satisfied.,16,0.2512906007,7.098325975e-05,0.7263869575,999.9249303,-0.07506968079,40,10,9.965042552,-0.03495744771,30,-10,43.30347761,3.303477613,999.9208445,39.91908291,12.77396264,30.12993914,42.74631815
I,5,True,252.178283,170.392476,0.5293374087,19,0.2926444315,`xtol` termination condition is satisfied.,2,0.2506789436,6.883250431e-05,0.7263876918,999.9249303,-0.07506973147,40,10,9.9649916,-0.03500840048,30,-10,43.30354158,3.303541576,999.9214518,39.91303967,12.32157388,30.04842046,42.84716934
I,6,True,252.1812007,170.392467,0.5293404709,13,4.550995052,`xtol` termination condition is satisfied.,27,0.2518130774,5.058024923e-05,0.7263981932,999.9249289,-0.07507107053,39.99999985,9.999999845,9.964555308,-0.03544469208,30,-9.999999999,43.30445963,3.304459633,999.9204011,39.43111275,13.15577268,30.0358694,43.10258868
I,7,True,252.1854553,170.392466,0.5293449362,15,6.947888796,`xtol` termination condition is satisfied.,21,0.2514000969,8.318074632e-05,0.7264086527,999.924928,-0.07507204781,39.9999995,9.999999498,9.963954719,-0.03604528081,30,-9.999999999,43.3053725,3.305372504,999.9218444,39.80666017,12.37429349,30.11220776,42.73665286
I,8,True,252.1876735,170.392468,0.5293472642,16,6.625327127,`xtol` termination condition is satisfied.,14,0.2511670557,0.0001037857566,0.7264120903,999.9249279,-0.07507213189,39.99999997,9.999999965,9.963645175,-0.03635482526,30,-10,43.30566946,3.305669461,999.9211498,39.87706997,12.4166292,30.11856266,42.86176361
I,9,True,252.1891968,170.3924655,0.529348863,15,11.3501113,`xtol` termination condition is satisfied.,22,0.2514201405,0.000131033084,0.7264212362,999.9249263,-0.07507373403,39.99999998,9.999999984,9.963506886,-0.03649311374,30,-10,43.30647063,3.306470632,999.9213703,39.85650126,12.16826769,30.02133435,43.18277367
I,10,True,252.1903044,170.3924699,0.5293500253,15,8.867882339,`xtol` termination condition is satisfied.,1,0.2506382875,0.0001367561589,0.7264195202,999.9249271,-0.0750729306,39.99999987,9.999999875,9.963268034,-0.0367319656,30,-10,43.30631768,3.306317684,999.9214375,39.9613273,12.36418102,30.05594689,42.7845229
I,11,True,252.1911225,170.3924642,0.529350884,20,12.58320733,`xtol` termination condition is satisfied.,30,0.2519138128,0.0001479699762,0.7264277425,999.924925,-0.07507504679,39.99999999,9.999999994,9.963580809,-0.03641919087,30,-10,43.30704248,3.307042477,999.9205445,39.98669221,13.27685588,30.07923193,42.60377075
I,12,True,252.1917223,170.3924703,0.5293515134,19,10.50357414,`xtol` termination condition is satisfied.,25,0.2515977013,0.0001543874213,0.7264244885,999.9249263,-0.07507368999,40,9.999999999,9.963152517,-0.03684748331,30,-10,43.30675205,3.306752053,999.9213977,39.54735104,13.19703129,30.06266924,42.44543982
I,13,True,252.1917338,170.3924656,0.5293515255,18,13.03050286,`xtol` termination condition is satisfied.,12,0.251110773,0.0001562464906,0.7264293922,999.9249248,-0.07507522305,39.99999999,9.999999992,9.963498044,-0.03650195623,30,-10,43.30718632,3.307186318,999.9213636,39.3979166,13.00675703,30.0041174,42.71196403
I,14,True,252.1921689,170.3924675,0.5293519821,18,12.7694153,`xtol` termination condition is satisfied.,8,0.2509132618,0.0001612663332,0.7264294436,999.924925,-0.07507499543,39.99999999,9.999999989,9.963358759,-0.03664124108,30,-10,43.30718926,3.307189264,999.9219522,39.82108656,12.27473624,30.01450344,42.84742985
I,15,True,252.1923494,170.3924733,0.5293521716,16,9.997960986,`xtol` termination condition is satisfied.,10,0.2509554709,0.0001616723017,0.7264245019,999.9249266,-0.07507338885,39.9999997,9.999999703,9.962978223,-0.0370217773,30,-10,43.30675214,3.306752139,999.9214878,39.99621532,12.4587813,30.08628278,42.57743235
I,16,True,252.1926065,170.3924738,0.5293524414,16,10.39557769,`xtol` termination condition is satisfied.,5,0.250767893,0.0001657273114,0.7264254551,999.9249265,-0.07507351579,39.99999958,9.999999578,9.962941453,-0.03705854684,30,-10,43.30683575,3.306835745,999.9207614,39.96968617,12.60772735,30.03317623,42.8554578
