rank,opd_um,air_gap_um_if_roundtrip,amplitude
1,2001.799905,1000.8999525,18.125078810574525
2,719.964,359.982,1.4843948714876365
3,827.0586450000001,413.52932250000003,1.4724751035101968
4,1094.34528,547.17264,1.3926788221407915
5,581.37093,290.685465,1.390549270666018
6,864.2567850000001,432.1283925000001,1.3755640470123505
7,1281.8359050000001,640.9179525000001,1.3394954446973408
8,765.261735,382.6308675,1.3279708285454896
9,738.8630550000001,369.4315275000001,1.3120894576846063
10,589.4705250000001,294.73526250000003,1.3096621155412242
11,887.3556300000001,443.67781500000007,1.3053194251587925
12,816.259185,408.1295925,1.2944152071964037
