,L_fft_um,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,fft_spectral_centroid_um,fringe_visibility_global,fringe_contrast_std
L_fft_um,1.0,0.11403221383254801,0.17771576090021518,0.24156160382643344,0.5098114545285461,0.21857827734701868,0.18758910860625164,-0.3231085459758764
PSS_nominal_nm,0.11403221383254801,1.0,-0.10961754915201881,0.12004406925838376,-0.05120696543916848,0.13672626034468757,-0.039499177883628195,0.1791972678119882
HSQ_nominal_nm,0.17771576090021518,-0.10961754915201881,1.0,0.00019994662699757254,0.0889821588166566,0.26156078875901034,0.0012975386381556433,-0.251785111924776
SOC_nominal_nm,0.24156160382643344,0.12004406925838376,0.00019994662699757254,1.0,0.1200325624829558,0.15532348138946328,0.07564475210993588,-0.6547472156039105
TiO2_nominal_nm,0.5098114545285461,-0.05120696543916848,0.0889821588166566,0.1200325624829558,1.0,0.391824326485499,0.35772190675144283,-0.4054377593412463
fft_spectral_centroid_um,0.21857827734701868,0.13672626034468757,0.26156078875901034,0.15532348138946328,0.391824326485499,1.0,0.09869126611612579,-0.34866394261705574
fringe_visibility_global,0.18758910860625164,-0.039499177883628195,0.0012975386381556433,0.07564475210993588,0.35772190675144283,0.09869126611612579,1.0,-0.10323910742216132
fringe_contrast_std,-0.3231085459758764,0.1791972678119882,-0.251785111924776,-0.6547472156039105,-0.4054377593412463,-0.34866394261705574,-0.10323910742216132,1.0
