epoch,train_loss,val_loss,val_RMSE_nm,learning_rate,seconds
1,0.003461934164698635,0.0028383163994799058,7.036980152130127,0.001,923.7751863002777
2,0.0021768955736288,0.004080291044712066,8.437261581420898,0.001,917.7238767147064
3,0.0020168824684939214,0.004496984453002612,8.857610702514648,0.001,932.2952501773834
4,0.0017740619718230196,0.0030557907314350207,7.301594257354736,0.001,924.3038787841797
5,0.00160322562692953,0.003461337062716484,7.771017074584961,0.001,908.6208109855652
6,0.001440397885548217,0.003821681875487169,8.165507316589355,0.0005,1071.7778625488281
7,0.0011151166541767971,0.004065606121905148,8.422064781188965,0.0005,1055.5036754608154
8,0.0009833101823127695,0.003982254943065346,8.335285186767578,0.0005,954.1871898174286
9,0.0008999757220037282,0.0032998367947836716,7.587560176849365,0.0005,948.4362790584564
10,0.0008330910481911685,0.004147036444457869,8.505990028381348,0.0005,926.2184221744537
11,0.0007857317961486323,0.0038359665585681797,8.180753707885742,0.00025,920.393739938736
12,0.0006687206626337554,0.0037673247147351503,8.107229232788086,0.00025,921.490362405777
13,0.0006437752566566425,0.004017501290577153,8.372090339660645,0.00025,925.8465094566345
14,0.0006232393997189189,0.0036919637149820726,8.025732040405273,0.00025,901.4437851905823
15,0.0006042053766681679,0.0034853031349989273,7.7978739738464355,0.00025,884.6328814029694
16,0.0005872661353754146,0.0033657807032888135,7.663000583648682,0.000125,879.580641746521
