Wavelength_nm,Reflection
400.0,0.8491356481518095
400.01,0.8216979238815807
400.02,0.7181434574588496
400.03,0.3960164448422073
400.04,0.04006162339193981
400.05,0.5160117124319406
400.06,0.7577626299806575
400.07,0.833849752317876
400.08,0.8491520206828442
400.09,0.8214919051301401
400.1,0.7174628060432331
400.11,0.39411197305145884
400.12,0.04075663816325266
400.13,0.5173115865446138
400.14,0.7581645379563933
400.15,0.8339821828727474
400.16,0.8491846034818252
400.17,0.8214600094009213
400.18,0.7173406879975832
400.19,0.393832904965424
400.2,0.04077240926516172
400.21,0.517329393135685
400.22,0.7581551846148092
400.23,0.8339921727172366
400.24,0.8492340842270778
400.25,0.8216029863364368
400.26,0.7177786430768316
400.27,0.3951812756368581
400.28,0.04010465843659578
400.29,0.5160651971225266
400.3,0.7577342446091818
400.31,0.8338793810005172
400.32,0.8492999359353582
400.33,0.8219194955631468
400.34,0.7187720103465238
400.35,0.39814800318832544
400.36,0.03879506085871115
400.37,0.5135064706301407
400.38,0.7568968556003881
400.39,0.8336417805410987
400.4,0.849380421716562
400.41,0.8224061286097143
400.42,0.720310018873184
400.43,0.40271262964567567
400.44,0.03693219274534628
400.45,0.5096280290801053
400.46,0.7556335290343148
400.47,0.8332756370872412
400.48,0.8494726017174662
400.49,0.8230574598170105
400.5,0.7223759939579402
400.51,0.40884279717741145
400.52,0.034653370367548945
400.53,0.5043919208642513
400.54,0.7539299728070469
400.55,0.8327754677945776
400.56,0.8495723416598256
400.57,0.8238661245712988
400.58,0.7249476735131092
400.59,0.4164935480072235
400.6,0.032147066815191264
400.61,0.49774730784999965
400.62,0.7517668204597177
400.63,0.8321339773130745
400.64,0.8496743219750352
400.65,0.8248229223524094
400.66,0.7279976263204988
400.67,0.42560657380438227
400.68,0.02965539511364122
400.69,0.4896303998904321
400.7,0.7491192588431896
400.71,0.8313419690608107
400.72,0.8497720461417015
400.73,0.8259169412134043
400.74,0.7314937609454502
400.75,0.43610956579153326
400.76,0.027475917752332497
400.77,0.4799645419140386
400.78,0.7459565430798268
400.79,0.8303882283593483
400.8,0.8498578464429847
400.81,0.8271356996562554
400.82,0.735399911515678
400.83,0.4479158254143466
400.84,0.025961793378589122
400.85,0.46866060179994573
400.86,0.7422413844903277
400.87,0.8292593731084843
400.88,0.8499228849768111
400.89,0.8284653012954338
400.9,0.7396764841788006
400.91,0.460924286608001
400.92,0.02551903316966367
400.93,0.45561787679703125
400.94,0.7379291935200045
400.95,0.8279396664814306
400.96,0.8499571473642087
400.97,0.8298905973165273
400.98,0.7442811462339878
400.99,0.4750200725280384
401.0,0.026599473341651816
401.01,0.4407258341311368
401.02,0.7329671559203492
401.03,0.8264107847657701
401.04,0.8499494262022382
401.05,0.8313953514809608
401.06,0.7491695385523326
401.07,0.4900756650744804
401.08,0.029688069152071592
401.09,0.42386713519548835
401.1,0.7272931163745909
401.11,0.8246515317880204
401.12,0.8498872908812038
401.13,0.8329624023336667
401.14,0.7542959913955652
401.15,0.5059527087437907
401.16,0.03528339634516895
401.17,0.4049225734047649
401.18,0.7208342398724542
401.19,0.8226374893633116
401.2,0.8497570399132391
401.21,0.8345738173334657
401.22,0.7596142238861048
401.23,0.5225044074353885
401.24,0.04387092116494605
401.25,0.3837787897162733
401.26,0.7135054178000001
401.27,0.820340590735527
401.28,0.8495436313727047
401.29,0.8362110337653816
401.3,0.7650780083709668
401.31,0.5395784121486746
401.32,0.055889728457978585
401.33,0.3603399174231965
401.34,0.7052073838927819
401.35,0.8177286009290455
401.36,0.8492305863969827
401.37,0.8378549815557578
401.38,0.7706417827074457
401.39,0.5570200466189943
401.4,0.07169491492896471
401.41,0.33454462869734025
401.42,0.69582450678154
401.43,0.8147644841358446
401.44,0.8487998598902933
401.45,0.8394861833943583
401.46,0.7762611959222723
401.47,0.5746756837346241
401.48,0.0915195149346052
401.49,0.30639035135700066
401.5,0.6852222333714659
401.51,0.8114056335854926
401.52,0.8482316715720482
401.53,0.8410848278895626
401.54,0.7818935756091085
401.55,0.5923960717185028
401.56,0.11544119189650973
401.57,0.27596656026016175
401.58,0.673244176322346
401.59,0.8076029334511917
401.6,0.8475042892239718
401.61,0.8426308117369127
401.62,0.7874983086876214
401.63,0.6100394172782208
401.64,0.14335945945553197
401.65,0.2434987686801306
401.66,0.6597088770021268
401.67,0.8032996150961736
401.68,0.8465937543550326
401.69,0.8441037470828934
401.7,0.7930371304915426
401.71,0.6274740600892859
401.72,0.1749884447351508
401.73,0.20940371759287257
401.74,0.6444063467559265
401.75,0.7984298609172333
401.76,0.8454735383882528
401.77,0.8454829303110534
401.78,0.7984743203457099
401.79,0.6445806148260984
401.8,0.20986805463462926
401.81,0.17435365521578666
401.82,0.6270946159778694
401.83,0.7929170980107498
401.84,0.8441141147462496
401.85,0.8467472683522314
401.86,0.8037768047031216
401.87,0.6612535066146787
401.88,0.24739322918643525
401.89,0.13934278905310304
401.9,0.6074967376163442
401.91,0.7866719104489982
401.92,0.8424824286845766
401.93,0.8478751582413058
401.94,0.8089141713515549
401.95,0.6774018765224517
401.96,0.2868575820491429
401.97,0.10574154510178094
401.98,0.5852990548445626
401.99,0.7795894831479157
