Wavelength_nm,Reflection
400.0,0.7680642917783986
400.01,0.7846383667602684
400.02,0.7469155601458493
400.03,0.6214136643552813
400.04,0.32529493410378285
400.05,0.13280374325088917
400.06,0.4585950165257966
400.07,0.6832070876537331
400.08,0.768191726797052
400.09,0.7845035406059528
400.1,0.7465160731178202
400.11,0.6205579582299456
400.12,0.3240014223829324
400.13,0.13339753601982696
400.14,0.45937074922697096
400.15,0.6834039900779519
400.16,0.7681763630511
400.17,0.7843983136437598
400.18,0.7463444484775134
400.19,0.6203315736077049
400.2,0.32391163595814876
400.21,0.1335002766271823
400.22,0.45910427185907976
400.23,0.6831614322083757
400.24,0.7680193085559476
400.25,0.7843233760272977
400.26,0.746401456637502
400.27,0.6207350871863067
400.28,0.32502279161293013
400.29,0.1331149963375708
400.3,0.4577961406004299
400.31,0.6824783206302167
400.32,0.767719708434351
400.33,0.7842778588254734
400.34,0.7466853576820432
400.35,0.6217635189537275
400.36,0.32733145739938807
400.37,0.13226787064388057
400.38,0.45544075735396683
400.39,0.681349398468534
400.4,0.7672747396118687
400.41,0.7842593373254213
400.42,0.7471919257656812
400.43,0.6234064049145369
400.44,0.33083320555184126
400.45,0.13100853326982356
400.46,0.4520265313189085
400.47,0.6797651857194731
400.48,0.766679587457004
400.49,0.7842638376465321
400.5,0.7479145022102437
400.51,0.6256479305349477
400.52,0.3355218750668524
400.53,0.12941077046786809
400.54,0.44753615048257833
400.55,0.6777118640269463
400.56,0.765927403593052
400.57,0.7842858459629367
400.58,0.7488440757638553
400.59,0.6284671246507393
400.6,0.34138849401792326
400.61,0.1275734927648454
400.62,0.4419469947947974
400.63,0.6751711046402147
400.64,0.7650092434806084
400.65,0.784318319215552
400.66,0.7499693877899952
400.67,0.6318381135085503
400.68,0.34841993426627216
400.69,0.12562182665278335
400.7,0.43523174001885073
400.71,0.672119837664091
400.72,0.7639139817189188
400.73,0.7843526957658702
400.74,0.7512770594221899
400.75,0.6357304343025602
400.76,0.3565973918897283
400.77,0.12370810612090155
400.78,0.4273592211723636
400.79,0.6685299602765362
400.8,0.7626282023350334
400.81,0.7843789040409772
400.82,0.7527517371340883
400.83,0.6401094064670879
400.84,0.3658948038820237
400.85,0.12201247421118118
400.86,0.4182956491402028
400.87,0.6643679815513067
400.88,0.7611360605763102
400.89,0.7843853668139724
400.9,0.75437625260684
400.91,0.6449365577152546
400.92,0.3762773240129423
400.93,0.12074273237537049
400.94,0.40800630332962806
400.95,0.659594601834801
400.96,0.7594191119222142
400.97,0.7843589983665497
400.98,0.7561317923483764
400.99,0.6501700998459042
401.0,0.38769998576876796
401.01,0.1201330099299284
401.02,0.39645785839082137
