theta_deg,multipass_N,geometric_gain,optical_power_ratio,random_noise_std_nm,asd_bias_std_nm,asd_bias_rms_nm,total_rms_nm
60.0,1,1.7320508075688772,0.9603999999999999,2.6520299361689665,0.0,0.0,2.6520299361689665
60.0,2,3.4641016151377544,0.9223681599999999,1.353076498045391,0.0,0.0,1.353076498045391
60.0,4,6.928203230275509,0.8507630225817855,0.7044338286367092,0.0,0.0,0.7044338286367092
60.0,6,10.392304845413264,0.7847167237347998,0.48898641443614416,0.0,0.0,0.48898641443614416
60.25,1,1.7363976289782845,0.9603999999999999,2.645390961136669,0.0,0.0,2.645390961136669
60.25,2,3.472795257956569,0.9223681599999999,1.3496892658860553,0.0,0.0,1.3496892658860553
60.25,4,6.945590515913138,0.8507630225817855,0.7026703799906577,0.0,0.0,0.7026703799906577
60.25,6,10.418385773869707,0.7847167237347998,0.4877623073654434,0.0,0.0,0.4877623073654434
60.5,1,1.7407113918797994,0.9603999999999999,2.638835256703764,0.0,0.0,2.638835256703764
60.5,2,3.481422783759599,0.9223681599999999,1.34634451872641,0.0,0.0,1.34634451872641
60.5,4,6.962845567519198,0.8507630225817855,0.7009290497326167,0.0,0.0,0.7009290497326167
60.5,6,10.444268351278797,0.7847167237347998,0.48655355388908555,0.0,0.0,0.48655355388908555
60.75,1,1.7449920141455941,0.9603999999999999,2.6323619566175505,0.0,0.0,2.6323619566175505
60.75,2,3.4899840282911883,0.9223681599999999,1.343041814600791,0.0,0.0,1.343041814600791
60.75,4,6.9799680565823765,0.8507630225817855,0.6992096077680086,0.0,0.0,0.6992096077680086
60.75,6,10.469952084873565,0.7847167237347998,0.4853599942857203,0.0,0.0,0.4853599942857203
61.0,1,1.7492394142787915,0.9603999999999999,2.6259702103340548,0.0,0.0,2.6259702103340548
61.0,2,3.498478828557583,0.9223681599999999,1.3397807195581912,0.0,0.0,1.3397807195581912
61.0,4,6.996957657115166,0.8507630225817855,0.6975118281748184,0.0,0.0,0.6975118281748184
61.0,6,10.495436485672748,0.7847167237347998,0.484181471730403,0.0,0.0,0.484181471730403
61.25,1,1.7534535114150156,0.9603999999999999,2.61965918271277,0.0,0.0,2.61965918271277
61.25,2,3.506907022830031,0.9223681599999999,1.3365608075065152,0.0,0.0,1.3365608075065152
61.25,4,7.013814045660062,0.8507630225817855,0.6958354891225089,0.0,0.0,0.6958354891225089
61.25,6,10.520721068490094,0.7847167237347998,0.48301783223830985,0.0,0.0,0.48301783223830985
61.5,1,1.7576342253239308,0.9603999999999999,2.613428053719042,0.0,0.0,2.613428053719042
61.5,2,3.5152684506478615,0.9223681599999999,1.3333816600607358,0.0,0.0,1.3333816600607358
61.5,4,7.030536901295723,0.8507630225817855,0.6941803727929694,0.0,0.0,0.6941803727929694
61.5,6,10.545805351943585,0.7847167237347998,0.4818689246098636,0.0,0.0,0.4818689246098636
61.75,1,1.761781476410771,0.9603999999999999,2.607276018133876,0.0,0.0,2.607276018133876
61.75,2,3.523562952821542,0.9223681599999999,1.3302428663948345,0.0,0.0,1.3302428663948345
61.75,4,7.047125905643084,0.8507630225817855,0.6925462653034332,0.0,0.0,0.6925462653034332
61.75,6,10.570688858464626,0.7847167237347998,0.4807346003772271,0.0,0.0,0.4807346003772271
62.0,1,1.7658951857178538,0.9603999999999999,2.6012022852709764,0.0,0.0,2.6012022852709764
62.0,2,3.5317903714357075,0.9223681599999999,1.327144023097437,0.0,0.0,1.327144023097437
62.0,4,7.063580742871415,0.8507630225817855,0.6909329566313186,0.0,0.0,0.6909329566313186
62.0,6,10.595371114307122,0.7847167237347998,0.47961471375213016,0.0,0.0,0.47961471375213016
62.25,1,1.7699752749260835,0.9603999999999999,2.5952060787008024,0.0,0.0,2.5952060787008024
62.25,2,3.539950549852167,0.9223681599999999,1.3240847340310216,0.0,0.0,1.3240847340310216
62.25,4,7.079901099704334,0.8507630225817855,0.6893402405409317,0.0,0.0,0.6893402405409317
62.25,6,10.619851649556502,0.7847167237347998,0.4785091215749908,0.0,0.0,0.4785091215749908
62.5,1,1.7740216663564434,0.9603999999999999,2.589286635981458,0.0,0.0,2.589286635981458
62.5,2,3.548043332712887,0.9223681599999999,1.3210646101946215,0.0,0.0,1.3210646101946215
62.5,4,7.096086665425774,0.8507630225817855,0.6877679145119854,0.0,0.0,0.6877679145119854
62.5,6,10.644129998138661,0.7847167237347998,0.477417683265296,0.0,0.0,0.477417683265296
62.75,1,1.7780342829714728,0.9603999999999999,2.583443208396221,0.0,0.0,2.583443208396221
62.75,2,3.5560685659429456,0.9223681599999999,1.3180832695899085,0.0,0.0,1.3180832695899085
62.75,4,7.112137131885891,0.8507630225817855,0.6862157796698816,0.0,0.0,0.6862157796698816
62.75,6,10.668205697828837,0.7847167237347998,0.47634026077320685,0.0,0.0,0.47634026077320685
63.0,1,1.7820130483767356,0.9603999999999999,2.577675060697532,0.0,0.0,2.577675060697532
63.0,2,3.564026096753471,0.9223681599999999,1.3151403370905776,0.0,0.0,1.3151403370905776
63.0,4,7.128052193506942,0.8507630225817855,0.68468364071771,0.0,0.0,0.68468364071771
63.0,6,10.692078290260413,0.7847167237347998,0.4752767185323547,0.0,0.0,0.4752767185323547
