mode,rank,success,cost,rmse_normalized,nfev,optimality,message,fit_Air_um,fit_HSQ_nm,fit_PSS_nm,fit_SOC_nm,fit_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,2.830037573,0.05672009883,10,0.001857273005,Both `ftol` and `xtol` termination conditions are satisfied.,1000.000114,30.06955217,11.3748562,38.89692642,39.76959745,1000,30,10,40,40
I,2,True,1795.359031,2.172777732,32,52.2323908,`xtol` termination condition is satisfied.,1000.115176,40,20,50,50,1000.109602,29.28851148,5.254641073,49.39941355,44.80507662
I,3,True,2069.937036,2.332631153,104,2.019017549,`ftol` termination condition is satisfied.,999.4868567,40,20,50,37.61925937,999.6072377,21.4941971,12.95115567,40.43228383,44.39294468
I,4,True,2257.013304,2.458374916,35,63.63689917,`xtol` termination condition is satisfied.,998.0657171,40,20,50,30.60121414,998.0901171,24.8722103,2.954665816,46.98418479,43.16153612
I,5,True,2264.02368,2.503428752,96,6.136761703,`ftol` termination condition is satisfied.,998.846112,20,5.773113397,50,40.3561489,998.8276077,39.05876425,1.217001572,31.32034364,34.0623215
I,6,True,2323.310696,2.5825621,31,47.66890391,`xtol` termination condition is satisfied.,999.8816172,20,1,30,50,999.8676751,21.51523197,6.590429595,49.31561786,48.14706602
I,7,True,2358.501325,2.533445891,40,19.63153334,`ftol` termination condition is satisfied.,998.4207188,32.58894068,20,50,34.6675589,998.4094624,34.84329629,17.34402784,36.37550661,44.39931255
I,8,True,2358.501348,2.533534035,43,1.907027747,`ftol` termination condition is satisfied.,998.4207214,32.5578608,20,50,34.69797889,998.4518506,30.55946066,6.430564476,42.41377897,38.71277366
D,1,True,6.280812526,0.08686834277,13,14.82426292,`xtol` termination condition is satisfied.,1000.001159,28.81997161,16.74459813,34.63581346,39.60650495,1000,30,10,40,40
D,2,True,1647.562243,2.131136044,50,7.432127161,`ftol` termination condition is satisfied.,1000.254804,20,11.96549489,49.99962387,30,1000.260276,27.34075384,19.78992125,31.20052239,30.06541444
D,3,True,1710.282019,2.236029404,50,55.82777174,`xtol` termination condition is satisfied.,1000.262097,20,12.59783299,30.00001408,30,1000.258794,27.90521772,1.690012644,33.88646473,30.99675061
D,4,True,1913.084866,2.319170258,24,130.2072692,`xtol` termination condition is satisfied.,999.8230798,22.36760823,19.99999906,50,30.00000008,999.8268341,31.52914497,6.844963715,30.4517823,44.62744187
D,5,True,2039.267818,2.339025772,32,8.193183391,`ftol` termination condition is satisfied.,1001.608466,34.7814194,20,49.99919564,30,1001.631603,37.92347322,14.34803005,35.1491224,32.23664237
D,6,True,2057.837666,2.371500585,44,0.8993683224,`ftol` termination condition is satisfied.,1000.89545,20,15.23031378,38.7094567,30,1000.896151,21.11641067,5.983901458,35.69253658,42.73155872
D,7,True,2102.25184,2.389568341,33,5.650634229,`ftol` termination condition is satisfied.,998.8368437,20,19.99999999,39.80495389,49.67938592,998.8427992,21.33352873,9.089849545,47.18617927,47.97246056
D,8,True,2145.12397,2.442222878,34,0.4090319244,`xtol` termination condition is satisfied.,1001.867041,20.00000149,20,49.99999595,30,1001.884069,21.44983378,1.144089906,41.81986939,43.66380379
joint,1,True,10.1055099,0.07707142832,11,15.09223948,`xtol` termination condition is satisfied.,1000.0007,29.59391818,14.63720442,36.20270513,39.57434688,1000,30,10,40,40
joint,2,True,4118.628526,2.366638873,56,306.1259082,`xtol` termination condition is satisfied.,1000.528913,40,20,50,30,1000.554854,36.60213311,19.46105534,39.5246265,32.35078064
joint,3,True,4252.099163,2.415408884,76,3.658337025,`ftol` termination condition is satisfied.,998.0904633,38.25571179,20,50,30,998.1221288,22.46988985,12.66627665,49.66945636,38.07616737
joint,4,True,4299.80829,2.422472742,34,0.07394336113,`ftol` termination condition is satisfied.,1001.930313,20,20,45.02763512,48.65924591,1001.940414,25.19168613,4.154781352,46.20633808,48.30275546
joint,5,True,4434.024906,2.451013523,142,200.1666322,`xtol` termination condition is satisfied.,999.404399,21.4070519,20,30.00134497,50,999.3407619,30.03886629,14.42233785,48.64067751,49.91636334
joint,6,True,4438.363355,2.456868532,21,0.4038950369,`ftol` termination condition is satisfied.,998.2106716,20.00000003,20,49.99999994,30,998.2031342,26.85929253,18.6315374,34.74118557,36.58124116
joint,7,True,4442.376825,2.464370045,45,226.4616206,`xtol` termination condition is satisfied.,999.4228548,20,20,32.31045353,47.3095193,999.4144748,24.65311485,12.29399658,42.49891328,46.11610187
joint,8,True,4572.778155,2.503396176,84,0.7743226066,`ftol` termination condition is satisfied.,998.7375431,24.63467227,20,50,30,998.7720123,23.21677924,3.627494491,41.63087363,33.85342507
