mode,success,cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,2.830037573,0.05672009883,0.008007897336,0.8173584926,10,0.001857273005,14792.81415,1000.000114,0.000113790767,30.06955217,0.0695521691,11.3748562,1.374856202,38.89692642,-1.103073581,39.76959745,-0.2304025506
D,True,6.280812526,0.08686834277,0.01031979594,0.629907027,13,14.82426292,20226.18061,1000.001159,0.001159079351,28.81997161,-1.180028385,16.74459813,6.744598126,34.63581346,-5.364186536,39.60650495,-0.3934950528
joint,True,10.1055099,0.07707142832,0.008819213013,0.6817853171,11,15.09223948,18077.31796,1000.0007,0.0006998633409,29.59391818,-0.4060818155,14.63720442,4.637204421,36.20270513,-3.797294873,39.57434688,-0.425653121
