mode,rank,start_label,start_order,parameter,unit,truth,initial,fit,signed_error,absolute_error
D,6,其他起点5,5,TiO2,nm,40,42.73155872,30,-10,10
D,7,其他起点6,6,Air,um,1000,998.8427992,998.8368437,-1.1631563,1.1631563
D,7,其他起点6,6,HSQ,nm,30,21.33352873,20,-10,10
D,7,其他起点6,6,PSS,nm,10,9.089849545,19.99999999,9.99999999,9.99999999
D,7,其他起点6,6,SOC,nm,40,47.18617927,39.80495389,-0.19504611,0.19504611
D,7,其他起点6,6,TiO2,nm,40,47.97246056,49.67938592,9.67938592,9.67938592
D,8,其他起点7,7,Air,um,1000,1001.884069,1001.867041,1.867041,1.867041
D,8,其他起点7,7,HSQ,nm,30,21.44983378,20.00000149,-9.99999851,9.99999851
D,8,其他起点7,7,PSS,nm,10,1.144089906,20,10,10
D,8,其他起点7,7,SOC,nm,40,41.81986939,49.99999595,9.99999595,9.99999595
D,8,其他起点7,7,TiO2,nm,40,43.66380379,30,-10,10
joint,1,真值起点,0,Air,um,1000,1000,1000.0007,0.0007000000001,0.0007000000001
joint,1,真值起点,0,HSQ,nm,30,30,29.59391818,-0.40608182,0.40608182
joint,1,真值起点,0,PSS,nm,10,10,14.63720442,4.63720442,4.63720442
joint,1,真值起点,0,SOC,nm,40,40,36.20270513,-3.79729487,3.79729487
joint,1,真值起点,0,TiO2,nm,40,40,39.57434688,-0.42565312,0.42565312
joint,2,其他起点1,1,Air,um,1000,1000.554854,1000.528913,0.528913,0.528913
joint,2,其他起点1,1,HSQ,nm,30,36.60213311,40,10,10
joint,2,其他起点1,1,PSS,nm,10,19.46105534,20,10,10
joint,2,其他起点1,1,SOC,nm,40,39.5246265,50,10,10
joint,2,其他起点1,1,TiO2,nm,40,32.35078064,30,-10,10
joint,3,其他起点2,2,Air,um,1000,998.1221288,998.0904633,-1.9095367,1.9095367
joint,3,其他起点2,2,HSQ,nm,30,22.46988985,38.25571179,8.25571179,8.25571179
joint,3,其他起点2,2,PSS,nm,10,12.66627665,20,10,10
joint,3,其他起点2,2,SOC,nm,40,49.66945636,50,10,10
joint,3,其他起点2,2,TiO2,nm,40,38.07616737,30,-10,10
joint,4,其他起点3,3,Air,um,1000,1001.940414,1001.930313,1.930313,1.930313
joint,4,其他起点3,3,HSQ,nm,30,25.19168613,20,-10,10
joint,4,其他起点3,3,PSS,nm,10,4.154781352,20,10,10
joint,4,其他起点3,3,SOC,nm,40,46.20633808,45.02763512,5.02763512,5.02763512
joint,4,其他起点3,3,TiO2,nm,40,48.30275546,48.65924591,8.65924591,8.65924591
joint,5,其他起点4,4,Air,um,1000,999.3407619,999.404399,-0.595601,0.595601
joint,5,其他起点4,4,HSQ,nm,30,30.03886629,21.4070519,-8.5929481,8.5929481
joint,5,其他起点4,4,PSS,nm,10,14.42233785,20,10,10
joint,5,其他起点4,4,SOC,nm,40,48.64067751,30.00134497,-9.99865503,9.99865503
joint,5,其他起点4,4,TiO2,nm,40,49.91636334,50,10,10
