mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,193.7750331,136.2867988,0.4640103364,11,0.3344519941,`ftol` termination condition is satisfied.,7,0.08254685274,0,0.7446093549,999.2452302,-0.754769837,39.99999998,9.999999983,10.4014518,0.4014517984,30,-9.999999998,42.71232828,2.712328281,999.2471921,39.66946769,9.100298722,30.12598527,43.13557721
I,2,True,193.7764582,136.2867959,0.4640120428,12,0.1486289879,`xtol` termination condition is satisfied.,25,0.08290400385,1.941377217e-05,0.7446120254,999.2452298,-0.7547702002,40,10,10.4012485,0.4012484996,30,-10,42.71265225,2.712652255,999.2471735,38.68351712,9.945349392,30.07663711,43.16666124
I,3,True,193.7765634,136.2867958,0.4640121686,15,0.1985897073,`xtol` termination condition is satisfied.,15,0.08275421652,2.082528119e-05,0.744612202,999.2452298,-0.7547702196,40,10,10.40123153,0.4012315347,30,-10,42.71267428,2.712674281,999.2466849,39.39830884,9.622402026,30.00178451,43.07058853
I,4,True,193.7766237,136.2867955,0.4640122409,19,0.4197026823,`xtol` termination condition is satisfied.,6,0.08254426146,2.23847472e-05,0.7446124392,999.2452297,-0.7547702625,40,10,10.40121799,0.4012179932,30,-10,42.71270225,2.712702254,999.2469863,39.84970482,8.975037262,30.09105068,43.29928664
I,5,True,193.7767726,136.2867952,0.4640124191,20,0.4915414698,`xtol` termination condition is satisfied.,12,0.08267597218,2.432424807e-05,0.7446127044,999.2452297,-0.7547702976,40,10,10.40119748,0.4011974826,30,-10,42.71273448,2.712734481,999.2464092,39.7047101,8.985833838,30.23814916,43.4720795
I,6,True,193.7767807,136.2867952,0.4640124288,16,0.4784790853,`xtol` termination condition is satisfied.,32,0.08312147571,2.434571728e-05,0.7446127112,999.2452297,-0.7547702989,40,10,10.40119775,0.4011977508,30,-10,42.71273518,2.712735181,999.2457693,38.38432848,10.95572343,30.08072638,43.26436926
I,7,True,193.7768467,136.2867951,0.4640125079,20,0.5317316448,`xtol` termination condition is satisfied.,17,0.08277228251,2.530984136e-05,0.744612839,999.2452297,-0.7547703155,40,10,10.40118705,0.4011870495,30,-10,42.71275085,2.712750851,999.2455801,39.95079739,9.253814259,30.21792244,43.37728979
I,8,True,193.7768927,136.286795,0.4640125629,19,0.5581784903,`xtol` termination condition is satisfied.,5,0.08251939517,2.592636254e-05,0.7446129239,999.2452297,-0.754770327,40,10,10.4011806,0.4011805978,30,-10,42.71276114,2.712761142,999.2463998,39.26480402,9.550189718,30.09491298,43.38623162
I,9,True,193.7769144,136.286795,0.4640125889,20,0.5679460384,`xtol` termination condition is satisfied.,31,0.08309480021,2.620659758e-05,0.7446129621,999.2452297,-0.754770332,40,10,10.40117762,0.4011776199,30,-10,42.71276579,2.712765789,999.2454297,38.93689737,9.808839511,30.02865176,43.89395616
I,10,True,193.7771732,136.2867946,0.4640128987,12,0.6422753821,`xtol` termination condition is satisfied.,14,0.08274281687,2.934587902e-05,0.7446133958,999.2452296,-0.7547703889,40,10,10.40114501,0.4011450063,30,-10,42.71281836,2.712818358,999.2472742,39.51350539,9.409819545,30.10410329,42.99414476
I,11,True,193.7791618,136.286793,0.4640152797,12,0.6340536592,`xtol` termination condition is satisfied.,22,0.08285252232,5.123761291e-05,0.7446163125,999.2452293,-0.7547707278,40,9.999999998,10.40090448,0.4009044752,30.00000003,-9.999999969,42.71317573,2.713175731,999.2470983,38.99370213,10.10399093,30.01913533,42.95860308
I,12,True,193.7826105,136.2867902,0.4640194087,13,3.34123296,`xtol` termination condition is satisfied.,2,0.08246754895,0.0001004196261,0.7446231302,999.2452283,-0.7547716822,39.99999997,9.999999968,10.40039541,0.4003954135,30.00000001,-9.999999993,42.71400072,2.714000718,999.2461836,39.61354533,9.689612743,30.06914189,43.21404721
I,13,True,193.7874379,136.2867945,0.4640251884,13,4.515313374,`xtol` termination condition is satisfied.,28,0.08300834559,0.0001582657304,0.7446309594,999.2452273,-0.7547726725,39.99999978,9.99999978,10.39977678,0.3997767814,30.00000065,-9.999999346,42.71495701,2.714957012,999.24782,38.69506447,9.781217456,30.0247582,43.09223022
I,14,True,193.7887494,136.2868072,0.4640267586,16,0.1172307195,`ftol` termination condition is satisfied.,10,0.08265577592,0.0001794010161,0.7446258931,999.2452298,-0.754770218,40,10,10.39879425,0.3987942475,30,-10,42.71457513,2.714575127,999.2460383,39.20901973,9.971620706,30.0132784,43.48782223
I,15,True,193.7890783,136.2868075,0.4640271523,15,0.1207315298,`ftol` termination condition is satisfied.,27,0.08298987517,0.000183234623,0.744626335,999.2452297,-0.7547702525,40,10,10.39874391,0.3987439064,30,-10,42.71463156,2.714631564,999.2470407,39.06309515,9.306510011,30.21323981,43.28655993
I,16,True,193.7894162,136.2868193,0.4640275568,20,0.09696793426,`xtol` termination condition is satisfied.,30,0.08304365143,0.0002128543328,0.7446239268,999.2452312,-0.7547688083,40,10,10.39797477,0.3979747713,30,-10,42.71450244,2.714502436,999.2450708,39.85881663,9.786042509,30.14509075,43.44723423
I,17,True,193.7894346,136.2868193,0.4640275789,20,0.0970785489,`xtol` termination condition is satisfied.,16,0.08276874197,0.0002131500615,0.7446239419,999.2452312,-0.7547688053,40,10,10.39796965,0.3979696518,30,-10,42.71450495,2.714504945,999.2458004,39.53528941,9.303113367,30.19485807,43.62183945
I,18,True,193.7897235,136.2868086,0.4640279248,17,0.1266834095,`ftol` termination condition is satisfied.,19,0.08280228363,0.000191537834,0.7446270842,999.2452297,-0.7547702635,40,10,10.39861964,0.398619643,30,-10,42.71473391,2.714733908,999.2472233,38.95550584,9.146330268,30.08918674,43.54461769
