mode,success,cost,optimizer_robust_cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,193.7750331,136.2867988,0.4640103364,0.0638584465,5.82379062,11,0.3344519941,13736.06932,999.2452302,-0.754769837,39.99999998,9.999999983,10.4014518,0.4014517984,30,-9.999999998,42.71232828,2.712328281
D,True,373.2754449,196.7996339,0.6440112532,0.06602797949,4.736443547,17,4.765165446,23807.00283,999.2394982,-0.7605018315,39.99999997,9.999999966,15.09864899,5.098648985,30,-10,41.31463253,1.314632529
joint,True,604.4566026,347.6333402,0.5794904863,0.06390250015,4.966481267,16,30.03752933,18570.75275,999.2410269,-0.758973109,40,9.999999996,13.17212816,3.172128159,30,-10,42.21898729,2.218987287
