Wavelength(um)	Intensity
0.50319	0.524658
0.5032	0.408248
0.50321	0.388329
0.50322	0.497054
0.50323	0.588429
0.50324	0.609253
0.50325	0.557441
0.50326	0.445198
0.50327	0.375724
0.50328	0.456313
0.50329	0.565119
0.5033	0.610223
0.50331	0.582763
0.50332	0.486124
0.50333	0.383306
0.50334	0.417578
0.50335	0.533936
0.50336	0.603071
0.50337	0.599983
0.50338	0.524954
0.50339	0.409084
0.5034	0.388392
0.50341	0.49619
0.50342	0.58764
0.50343	0.608966
0.50344	0.557942
0.50345	0.446508
0.50346	0.37616
0.50347	0.455047
0.50348	0.563843
0.50349	0.609699
0.5035	0.583274
0.50351	0.487817
0.50352	0.384561
0.50353	0.416216
0.50354	0.532023
0.50355	0.602102
0.50356	0.6003
0.50357	0.526802
0.50358	0.411322
0.50359	0.387542
0.5036	0.493617
0.50361	0.586017
0.50362	0.608889
0.50363	0.559683
0.50364	0.449534
0.50365	0.376548
0.50366	0.45205
0.50367	0.561375
0.50368	0.609022
0.50369	0.584666
0.5037	0.49122
0.50371	0.386647
0.50372	0.413422
0.50373	0.528599
0.50374	0.600612
0.50375	0.601128
0.50376	0.530139
0.50377	0.415019
0.50378	0.385929
0.50379	0.48933
0.5038	0.583499
0.50381	0.608949
0.50382	0.562583
0.50383	0.454279
0.50384	0.377084
0.50385	0.447375
0.50386	0.557647
0.50387	0.608108
0.50388	0.586844
0.50389	0.496281
0.5039	0.389748
0.50391	0.409345
0.50392	0.523607
0.50393	0.598504
0.50394	0.602359
0.50395	0.534871
0.50396	0.420283
0.50397	0.383807
0.50398	0.483317
0.50399	0.579978
0.504	0.609031
0.50401	0.566519
0.50402	0.46075
0.50403	0.378075
0.50404	0.441104
0.50405	0.552552
0.50406	0.606829
0.50407	0.58967
0.50408	0.502919
0.50409	0.394119
0.5041	0.404212
0.50411	0.516965
0.50412	0.595639
0.50413	0.603847
0.50414	0.54086
0.50415	0.427244
0.50416	0.381541
0.50417	0.475572
0.50418	0.575307
0.50419	0.608975
0.5042	0.571326
0.50421	0.468936
0.50422	0.379924
0.50423	0.433378
0.50424	0.545949
0.50425	0.605016
0.50426	0.592964
0.50427	0.511017
0.50428	0.400068
0.50429	0.398359
0.5043	0.50858
0.50431	0.591832
0.50432	0.605399
0.50433	0.547928
0.50434	0.436027
0.50435	0.379619
0.50436	0.466119
0.50437	0.569296
0.50438	0.608582
0.50439	0.576793
0.5044	0.478788
0.50441	0.383118
0.50442	0.424428
0.50443	0.53767
0.50444	0.602452
0.50445	0.596501
0.50446	0.520408
0.50447	0.407911
0.50448	0.392257
0.50449	0.498363
0.5045	0.586857
0.50451	0.606783
0.50452	0.555845
0.50453	0.446713
0.50454	0.37865
0.50455	0.455052
0.50456	0.561721
0.50457	0.607605
0.50458	0.582665
0.50459	0.490192
0.5046	0.388188
0.50461	0.41462
0.50462	0.527535
0.50463	0.59888
0.50464	0.600016
0.50465	0.530865
0.50466	0.417925
0.50467	0.386541
0.50468	0.486269
0.50469	0.580447
0.5047	0.607725
0.50471	0.564333
0.50472	0.459301
0.50473	0.379351
0.50474	0.442577
0.50475	0.552331
0.50476	0.605759
0.50477	0.588646
0.50478	0.502954
0.50479	0.395657
0.5048	0.404507
0.50481	0.515378
0.50482	0.593997
0.50483	0.603203
0.50484	0.542092
0.50485	0.430292
0.50486	0.382023
0.50487	0.472334
0.50488	0.572295
0.50489	0.60791
0.5049	0.57306
0.50491	0.473673
0.50492	0.382495
0.50493	0.429084
0.50494	0.540863
0.50495	0.602712
0.50496	0.594395
0.50497	0.516783
0.50498	0.405965
0.50499	0.394872
0.505	0.50108
0.50501	0.58746
0.50502	0.605718
0.50503	0.553731
0.50504	0.445041
0.50505	0.379669
0.50506	0.456748
0.50507	0.562073
0.50508	0.606979
0.50509	0.581651
0.5051	0.489575
0.50511	0.388833
0.50512	0.415218
0.50513	0.527076
0.50514	0.598089
0.50515	0.599534
0.50516	0.531293
0.50517	0.419377
0.50518	0.386757
0.50519	0.484637
0.5052	0.578888
0.50521	0.607175
0.50522	0.565362
0.50523	0.462004
0.50524	0.380535
0.50525	0.439946
0.50526	0.549441
0.50527	0.604532
0.50528	0.589686
0.50529	0.506604
0.5053	0.398967
0.50531	0.401952
0.50532	0.510795
0.50533	0.591473
0.50534	0.603646
0.50535	0.546011
0.50536	0.435902
0.50537	0.381436
0.50538	0.466246
0.50539	0.567873
0.5054	0.607148
0.50541	0.576513
0.50542	0.480792
0.50543	0.385626
0.50544	0.422712
0.50545	0.534092
0.50546	0.600123
0.50547	0.596711
0.50548	0.524225
0.50549	0.413215
0.5055	0.390627
0.50551	0.491997
0.50552	0.582409
0.50553	0.606279
0.50554	0.560397
0.50555	0.455238
0.50556	0.380302
0.50557	0.446436
0.50558	0.554007
0.50559	0.605169
0.5056	0.586676
0.50561	0.50081
0.50562	0.395708
0.50563	0.406286
0.50564	0.515813
