mode,rank,success,cost,optimizer_robust_cost,rmse_normalized,nfev,optimality,message,global_population_rank,global_energy,distance_to_best_scaled,benchmark_distance_to_truth_scaled,fit_Air_um,benchmark_error_Air_um,fit_HSQ_nm,benchmark_error_HSQ_nm,fit_PSS_nm,benchmark_error_PSS_nm,fit_SOC_nm,benchmark_error_SOC_nm,fit_TiO2_nm,benchmark_error_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
joint,22,True,3618.596974,1772.200537,1.417861648,15,0.2289811283,`ftol` termination condition is satisfied.,27,1.020591358,0.001282773279,0.7389568836,999.6661009,-0.3338990927,26.13972972,-3.860270281,10.81390585,0.8139058544,50,10,30,-10,999.6609037,26.33058791,12.87669996,49.91422339,30.02080692
joint,23,True,3618.597271,1772.200538,1.417861706,15,0.2430941742,`ftol` termination condition is satisfied.,7,1.018890298,0.001302240662,0.7389523409,999.6661009,-0.3338991105,26.14001935,-3.859980647,10.81365649,0.8136564936,50,10,30,-10,999.6630474,24.70574329,12.95924441,49.99445566,30.01007248
joint,24,True,3618.597403,1772.200538,1.417861732,14,0.2519431518,`ftol` termination condition is satisfied.,19,1.019917085,0.001305994351,0.738951499,999.6661009,-0.3338991054,26.14007191,-3.859928086,10.81360553,0.8136055293,50,10,30,-10,999.6619388,24.67453973,14.41462064,49.9486601,30.00445578
joint,25,True,3618.597489,1772.200538,1.417861749,13,0.2443203636,`ftol` termination condition is satisfied.,30,1.020714505,0.001325221595,0.7389469202,999.6661009,-0.3338991465,26.140367,-3.859633003,10.81336726,0.8133672631,50,10,30,-10,999.662868,25.61782323,13.42677056,49.45882352,30.0009287
joint,26,True,3618.597681,1772.200538,1.417861786,15,0.2683779042,`ftol` termination condition is satisfied.,1,1.01817953,0.001328386632,0.7389462453,999.6661009,-0.3338991332,26.14040792,-3.859592076,10.8133213,0.8133213024,50,10,30,-10,999.6629769,25.71962657,12.282745,49.9963795,30.00506699
joint,27,True,3618.597701,1772.200538,1.41786179,13,0.5624935385,`ftol` termination condition is satisfied.,14,1.019607878,0.001466534582,0.738913055,999.6661005,-0.3338995032,26.14255889,-3.857441112,10.81163989,0.8116398933,50,10,30,-10,999.6611955,24.23939244,14.78608565,49.9112061,30.01349678
joint,28,True,3618.597816,1772.200538,1.417861813,15,0.277855488,`ftol` termination condition is satisfied.,6,1.018756406,0.001338243278,0.7389439388,999.6661009,-0.333899144,26.14055527,-3.859444726,10.81319573,0.813195729,50,10,30,-10,999.6629085,25.49273852,12.66479782,49.94456653,30.01773754
joint,29,True,3618.597902,1772.200538,1.41786183,15,0.2806767733,`ftol` termination condition is satisfied.,13,1.019449751,0.001343602627,0.7389426911,999.6661009,-0.3338991484,26.14063477,-3.859365226,10.81312691,0.8131269109,50,10,30,-10,999.6637694,24.81655812,12.96540758,49.72500566,30.0123045
joint,30,True,3618.598023,1772.200538,1.417861853,14,0.2911365775,`ftol` termination condition is satisfied.,8,1.018902713,0.001352737385,0.7389405518,999.6661008,-0.3338991589,26.14077152,-3.859228482,10.81301072,0.8130107202,50,10,30,-10,999.6624561,24.29060295,14.15667327,49.91244799,30.01278529
joint,31,True,3618.59812,1772.200539,1.417861872,13,0.3083503179,`ftol` termination condition is satisfied.,20,1.019929661,0.001365143776,0.7389376144,999.6661008,-0.333899181,26.14096036,-3.859039635,10.81285571,0.8128557093,50,10,30,-10,999.6623127,24.59316362,14.15097586,49.78262292,30.02244647
joint,32,True,3618.598344,1772.200539,1.417861916,14,0.3196799507,`ftol` termination condition is satisfied.,23,1.02043466,0.00137802888,0.7389346232,999.6661008,-0.3338991896,26.14115073,-3.858849271,10.81268963,0.8126896287,50,10,30,-10,999.6640888,24.54539672,13.2716841,49.84904297,30.01976593
