mode,success,cost,optimizer_robust_cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,1698.670485,732.2599334,1.373831012,0.2065204737,13.39448832,8,25.65455966,13813.76473,999.8909473,-0.1090526737,20.00000001,-9.999999986,1.000000001,-8.999999999,30.00000004,-9.99999996,33.94615304,-6.053846961
D,True,1423.562557,731.6589992,1.257670932,0.2388003205,9.932732894,14,0.4283671382,21594.3966,999.6690285,-0.3309714782,30.66890201,0.6689020055,5.134252623,-4.865747377,50,10,30,-10
joint,True,3618.540816,1772.200526,1.417850646,0.2336499744,10.00470081,10,0.3613852578,17945.59982,999.6660978,-0.3339021755,26.12232973,-3.877670271,10.83181639,0.8318163909,50,9.999999996,30,-9.999999999
