model,epoch,metric,value
more_feature,10,train_loss_scaled,0.0017499047329796104
more_feature,11,train_loss_scaled,0.0016447828253587748
more_feature,12,train_loss_scaled,0.0015618117477972531
more_feature,13,train_loss_scaled,0.001471162741350696
more_feature,14,train_loss_scaled,0.001391687043938036
more_feature,15,train_loss_scaled,0.0013230528417614129
more_feature,16,train_loss_scaled,0.001257938024051135
more_feature,17,train_loss_scaled,0.0012186708414829073
more_feature,18,train_loss_scaled,0.0011494254672059774
more_feature,19,train_loss_scaled,0.001094529890890993
more_feature,20,train_loss_scaled,0.0010472359862760594
more_feature,21,train_loss_scaled,0.0009970780583996156
more_feature,22,train_loss_scaled,0.0009633962209935574
more_feature,23,train_loss_scaled,0.0009115357508703925
more_feature,24,train_loss_scaled,0.0008604269893954308
more_feature,25,train_loss_scaled,0.0008355404684499213
more_feature,26,train_loss_scaled,0.0007909490105875719
more_feature,27,train_loss_scaled,0.0007600523646762767
more_feature,28,train_loss_scaled,0.0007029369582663436
more_feature,29,train_loss_scaled,0.0007166362260432048
more_feature,30,train_loss_scaled,0.000628542997191882
more_feature,31,train_loss_scaled,0.0006195293962243572
more_feature,32,train_loss_scaled,0.0005850260127698252
more_feature,33,train_loss_scaled,0.0005458505628386354
more_feature,34,train_loss_scaled,0.0005547125894745573
more_feature,35,train_loss_scaled,0.0004841187652330033
more_feature,36,train_loss_scaled,0.00047266685619266343
more_feature,37,train_loss_scaled,0.0004656951655806348
more_feature,38,train_loss_scaled,0.00044127220898554863
more_feature,39,train_loss_scaled,0.00043194305152602185
more_feature,40,train_loss_scaled,0.00040076651270205414
more_feature,41,train_loss_scaled,0.00040100035445161085
more_feature,42,train_loss_scaled,0.00037857573376001865
more_feature,43,train_loss_scaled,0.0003756554547714608
more_feature,44,train_loss_scaled,0.00036426864440005453
more_feature,45,train_loss_scaled,0.00035010739943008634
more_feature,46,train_loss_scaled,0.00033924439663260837
more_feature,47,train_loss_scaled,0.00031932598683069775
more_feature,48,train_loss_scaled,0.0003226194868310612
more_feature,49,train_loss_scaled,0.0003174448481808931
more_feature,50,train_loss_scaled,0.00028239466593058216
more_feature,51,train_loss_scaled,0.00029941803483204163
more_feature,52,train_loss_scaled,0.0002916507575739682
more_feature,53,train_loss_scaled,0.0002681097502571252
more_feature,54,train_loss_scaled,0.00029144692971923704
more_feature,55,train_loss_scaled,0.00026188594101970086
more_feature,56,train_loss_scaled,0.00025613579010008697
more_feature,57,train_loss_scaled,0.0002595378693586289
more_feature,58,train_loss_scaled,0.000261432910650058
more_feature,59,train_loss_scaled,0.00024618493814438774
more_feature,60,train_loss_scaled,0.00024052677053660774
more_feature,61,train_loss_scaled,0.0002476996914062929
more_feature,62,train_loss_scaled,0.00022829542878789332
more_feature,63,train_loss_scaled,0.00022944353955308807
more_feature,64,train_loss_scaled,0.00024020413982492057
more_feature,65,train_loss_scaled,0.00022324316394560986
more_feature,66,train_loss_scaled,0.0002296751341464228
more_feature,67,train_loss_scaled,0.0002090511547374605
more_feature,68,train_loss_scaled,0.00022720649807205965
more_feature,69,train_loss_scaled,0.00021297224160365426
more_feature,70,train_loss_scaled,0.00020967132619517534
more_feature,71,train_loss_scaled,0.00020769948583953778
more_feature,72,train_loss_scaled,0.00021967102057028853
more_feature,73,train_loss_scaled,0.00019368223147062035
more_feature,74,train_loss_scaled,0.00019910731308671954
more_feature,75,train_loss_scaled,0.00019144594253496812
more_feature,76,train_loss_scaled,0.00019754281136741077
more_feature,77,train_loss_scaled,0.00019254269869595466
more_feature,78,train_loss_scaled,0.00018813877490614627
more_feature,79,train_loss_scaled,0.00020088409490138934
more_feature,80,train_loss_scaled,0.00018652068901933375
more_feature,81,train_loss_scaled,0.00017737534170130095
more_feature,82,train_loss_scaled,0.00019259216431351115
more_feature,83,train_loss_scaled,0.00017720981061138496
more_feature,84,train_loss_scaled,0.0001769110805003593
more_feature,85,train_loss_scaled,0.00017476643870780628
more_feature,86,train_loss_scaled,0.00018940933585048927
more_feature,87,train_loss_scaled,0.00017186632413095012
more_feature,88,train_loss_scaled,0.00017991682621832386
more_feature,89,train_loss_scaled,0.00016242026780275453
more_feature,90,train_loss_scaled,0.0001924401297311771
more_feature,91,train_loss_scaled,0.0001651766782640877
more_feature,92,train_loss_scaled,0.00015835434729678777
more_feature,93,train_loss_scaled,0.00015677454998013702
more_feature,94,train_loss_scaled,0.00018426504300636033
more_feature,95,train_loss_scaled,0.00016219838601860337
more_feature,96,train_loss_scaled,0.000157338939606247
more_feature,97,train_loss_scaled,0.0001631317406668644
more_feature,98,train_loss_scaled,0.0001739639834862072
more_feature,99,train_loss_scaled,0.00014905895096076652
more_feature,100,train_loss_scaled,0.00015366500211715003
more_feature,1,internal_validation_R2,0.9828887911604436
more_feature,2,internal_validation_R2,0.9898029839900675
more_feature,3,internal_validation_R2,0.9923734912319814
more_feature,4,internal_validation_R2,0.9937166780528042
more_feature,5,internal_validation_R2,0.9945407458479791
more_feature,6,internal_validation_R2,0.995149836981519
more_feature,7,internal_validation_R2,0.9956046395953313
more_feature,8,internal_validation_R2,0.9959138371543288
more_feature,9,internal_validation_R2,0.9961767625976956
more_feature,10,internal_validation_R2,0.9964072391555904
more_feature,11,internal_validation_R2,0.9964871356782716
more_feature,12,internal_validation_R2,0.9967715678972829
more_feature,13,internal_validation_R2,0.9967920214918388
more_feature,14,internal_validation_R2,0.9970546541026223
more_feature,15,internal_validation_R2,0.9972518432486395
more_feature,16,internal_validation_R2,0.997050995390937
more_feature,17,internal_validation_R2,0.9973070075132342
more_feature,18,internal_validation_R2,0.9975668352806126
more_feature,19,internal_validation_R2,0.9976802881507352
more_feature,20,internal_validation_R2,0.9977679190333772
more_feature,21,internal_validation_R2,0.9978891977078989
more_feature,22,internal_validation_R2,0.99798763120341
more_feature,23,internal_validation_R2,0.9980151396126917
more_feature,24,internal_validation_R2,0.9979382963140047
more_feature,25,internal_validation_R2,0.9982128721363493
more_feature,26,internal_validation_R2,0.9979691154050997
more_feature,27,internal_validation_R2,0.9983467178924046
more_feature,28,internal_validation_R2,0.9983405866948807
more_feature,29,internal_validation_R2,0.9985987346914755
more_feature,30,internal_validation_R2,0.9984524968161976
more_feature,31,internal_validation_R2,0.998703574059543
more_feature,32,internal_validation_R2,0.9987331006629755
more_feature,33,internal_validation_R2,0.9986996222176774
more_feature,34,internal_validation_R2,0.998892936262793
more_feature,35,internal_validation_R2,0.9988999841395197
more_feature,36,internal_validation_R2,0.9989268917266627
more_feature,37,internal_validation_R2,0.9988054369013499
more_feature,38,internal_validation_R2,0.9989621226314966
more_feature,39,internal_validation_R2,0.9989839059874962
more_feature,40,internal_validation_R2,0.9991790316291728
more_feature,41,internal_validation_R2,0.998798149392583
more_feature,42,internal_validation_R2,0.9990474411474153
more_feature,43,internal_validation_R2,0.9990426342338696
more_feature,44,internal_validation_R2,0.9991026402462329
more_feature,45,internal_validation_R2,0.9991526614939541
more_feature,46,internal_validation_R2,0.999289879744515
more_feature,47,internal_validation_R2,0.998932694177697
more_feature,48,internal_validation_R2,0.9992284349416171
more_feature,49,internal_validation_R2,0.9993306081560024
more_feature,50,internal_validation_R2,0.9992260210712703
more_feature,51,internal_validation_R2,0.9992620865919367
more_feature,52,internal_validation_R2,0.9993542019504114
more_feature,53,internal_validation_R2,0.999258225863138
more_feature,54,internal_validation_R2,0.999326070555638
more_feature,55,internal_validation_R2,0.9992661428069707
more_feature,56,internal_validation_R2,0.9990413003547828
more_feature,57,internal_validation_R2,0.9992702498356246
more_feature,58,internal_validation_R2,0.9994178497348662
more_feature,59,internal_validation_R2,0.9994687297952985
more_feature,60,internal_validation_R2,0.9994293253206612
more_feature,61,internal_validation_R2,0.9994841949045031
more_feature,62,internal_validation_R2,0.9994625380679331
more_feature,63,internal_validation_R2,0.9994854844373062
more_feature,64,internal_validation_R2,0.999272833708938
more_feature,65,internal_validation_R2,0.9993871106547848
more_feature,66,internal_validation_R2,0.9995239914361409
more_feature,67,internal_validation_R2,0.9995245448777956
more_feature,68,internal_validation_R2,0.9993156769035748
more_feature,69,internal_validation_R2,0.9992353476464376
more_feature,70,internal_validation_R2,0.999494098565406
more_feature,71,internal_validation_R2,0.9995041660066513
more_feature,72,internal_validation_R2,0.9994717981989418
more_feature,73,internal_validation_R2,0.999237911355444
more_feature,74,internal_validation_R2,0.9995214961130509
more_feature,75,internal_validation_R2,0.9994196600546266
more_feature,76,internal_validation_R2,0.9994282796949652
more_feature,77,internal_validation_R2,0.9995990743080551
more_feature,78,internal_validation_R2,0.9995271772973737
more_feature,79,internal_validation_R2,0.9995917365849794
more_feature,80,internal_validation_R2,0.9994177942434239
more_feature,81,internal_validation_R2,0.9995950058679168
more_feature,82,internal_validation_R2,0.9994663008809241
more_feature,83,internal_validation_R2,0.9995956650101778
more_feature,84,internal_validation_R2,0.999576322090377
more_feature,85,internal_validation_R2,0.9990677572814586
more_feature,86,internal_validation_R2,0.9996038504373871
more_feature,87,internal_validation_R2,0.9996343911603441
more_feature,88,internal_validation_R2,0.9996020619861007
more_feature,89,internal_validation_R2,0.9993073222285916
more_feature,90,internal_validation_R2,0.9995192616594274
more_feature,91,internal_validation_R2,0.9995914250018815
more_feature,92,internal_validation_R2,0.999639492229078
more_feature,93,internal_validation_R2,0.9995632064273414
more_feature,94,internal_validation_R2,0.999411705572706
more_feature,95,internal_validation_R2,0.9996021882762496
more_feature,96,internal_validation_R2,0.9994188346048628
more_feature,97,internal_validation_R2,0.9996383903345545
more_feature,98,internal_validation_R2,0.999573882918872
more_feature,99,internal_validation_R2,0.9996269635574769
more_feature,100,internal_validation_R2,0.9995386889980693
