Wavelength_nm,Reflection
500.0,0.6913370746962167
500.01,0.679930372416285
500.02,0.6510779724906107
500.03,0.6014884848601317
500.04,0.5274752168815178
500.05,0.4302821274860764
500.06,0.3285466039320665
500.07,0.2674740338962578
500.08,0.28816675323290963
500.09,0.37571536948351225
500.1,0.4797252488551661
500.11,0.5670382945966632
500.12,0.6291919157129983
500.13,0.6683772956401379
500.14,0.6884220417633001
500.15,0.6917740077453338
500.16,0.6788381950340237
500.17,0.6479065106995499
500.18,0.5954352035459434
500.19,0.5177436670409881
500.2,0.41725715576515526
500.21,0.3162964017650444
500.22,0.2639658855619329
500.23,0.2972148231072197
500.24,0.39189162120728527
500.25,0.49601475940686557
500.26,0.5801638579822516
500.27,0.6385631440587742
500.28,0.6742672795071315
500.29,0.6911002702047518
500.3,0.6912048890592004
500.31,0.6745586415005903
500.32,0.6389551756123137
500.33,0.5804494970252198
500.34,0.4957978605228155
500.35,0.3907098221477298
500.36,0.295315536613669
500.37,0.26317654416771946
500.38,0.3184002012928652
500.39,0.42179829197081026
500.4,0.5231670389922651
500.41,0.600609429854625
500.42,0.6522720164835218
500.43,0.6820938369005384
500.44,0.6936184963893782
500.45,0.6883710721127939
500.46,0.6655917642358595
500.47,0.6223082245357079
500.48,0.5542007592223563
500.49,0.4596527209018562
500.5,0.3514968589608011
500.51,0.2721722104153894
500.52,0.2741167530719428
500.53,0.3560008127594425
500.54,0.4645785004470556
500.55,0.558449323523604
500.56,0.6256222322755909
500.57,0.6679859625846304
500.58,0.6898483219540253
500.59,0.694055421107478
500.6,0.6811628604992676
500.61,0.6493474977938525
500.62,0.5946933183610276
500.63,0.5131098704382194
500.64,0.4076875727668435
500.65,0.3049199091488954
500.66,0.26020952214626797
500.67,0.30749648817452346
500.68,0.4113521694936636
500.69,0.5166500216823634
500.7,0.5976564057268843
500.71,0.6516494559265104
500.72,0.6827851121634471
500.73,0.6949112423845845
500.74,0.6897058899323848
500.75,0.6663828393565157
500.76,0.621764141637547
500.77,0.551221041235622
500.78,0.45322066030079666
500.79,0.3425870746900631
500.8,0.266473423224274
500.81,0.278275378959641
500.82,0.3687659437984564
500.83,0.4796973298914516
500.84,0.57176145897517
500.85,0.635773263972753
500.86,0.6748181152656691
500.87,0.6933727725211747
500.88,0.6940118463400409
500.89,0.6767924191297807
500.9,0.6392251177591017
500.91,0.5767769152831482
500.92,0.48587453751095966
500.93,0.3744015253883124
500.94,0.28039891327228106
500.95,0.2641598609453176
500.96,0.33895910511891625
500.97,0.4511097433599449
500.98,0.5509996236962577
500.99,0.6227677695529669
501.0,0.6679286975765302
501.01,0.6912668891016099
501.02,0.6960109013641942
501.03,0.6828347031734273
501.04,0.6497557504863983
501.05,0.5924433657782824
501.06,0.5064442041209681
501.07,0.39596849489783575
501.08,0.29284421324616977
501.09,0.2587708201659562
501.1,0.32138582483128364
501.11,0.43301599951730935
501.12,0.5377317099579156
501.13,0.6145514021016282
501.14,0.663628140530209
501.15,0.6898865910508665
501.16,0.6969693223797161
501.17,0.685918604769084
501.18,0.6550223753260447
501.19,0.600045357885422
501.2,0.516143251034181
501.21,0.4059753719558895
501.22,0.2987928152463831
501.23,0.2569757313612379
501.24,0.3145545400194269
501.25,0.42639019425695834
501.26,0.5334170122427859
501.27,0.6123443069749853
501.28,0.6628437033110139
501.29,0.689976743442783
501.3,0.6975673118838627
501.31,0.6867569455159406
501.32,0.6558362242593344
501.33,0.6004705194582105
501.34,0.5156510912576164
501.35,0.404116493300439
501.36,0.2962868287988709
501.37,0.2564864572695047
501.38,0.3176954100802827
501.39,0.4315683170249484
501.4,0.5385756112842095
501.41,0.6165350693858374
501.42,0.6658266934845214
501.43,0.6917021617514865
501.44,0.6979211431174293
501.45,0.6854330153012366
501.46,0.6522391263721139
501.47,0.5936849655236599
501.48,0.5048254743429031
501.49,0.39026368856568844
501.5,0.28569386757853726
501.51,0.2583105195067043
501.52,0.33150914588440117
501.53,0.448504796489347
501.54,0.552782193653997
501.55,0.626633844052201
501.56,0.6721235176930309
501.57,0.6946385597629336
501.58,0.6975862252592029
501.59,0.6814072880780939
501.6,0.6435036450792883
501.61,0.5787166752212405
501.62,0.482688227120391
501.63,0.3645773955143271
501.64,0.2700000244988886
501.65,0.2667086126770299
501.66,0.35773804623854755
501.67,0.4765095260404245
501.68,0.574625897845157
501.69,0.6413146401983767
501.7,0.6806220543307228
501.71,0.6977960328776014
501.72,0.6955471706873756
501.73,0.6734660318985857
501.74,0.6280424155045436
501.75,0.5535964649053992
501.76,0.447706920385799
501.77,0.3286639167082972
501.78,0.25602972951606545
501.79,0.28830020707055565
501.8,0.3976265963335197
501.81,0.5136738617580358
501.82,0.6017258750618677
501.83,0.6585573050045443
