,L_fft_um,H_peak,PSS_nominal_nm,HSQ_nominal_nm,SOC_nominal_nm,TiO2_nominal_nm,L_fft_um*PSS_nominal_nm,L_fft_um*HSQ_nominal_nm,L_fft_um*SOC_nominal_nm,L_fft_um*TiO2_nominal_nm
L_fft_um,1.0,-0.08966724184322693,0.033150585615656245,0.025754992248629118,0.05627962197331313,0.11263821663834926,0.034173089745845084,0.027334044483099177,0.058659021806673706,0.11401341711758593
H_peak,-0.08966724184322693,1.0,-0.19382292968230014,0.285540986817915,-0.3310138716463512,-0.4309453061621641,-0.19390150988411228,0.2853987656115037,-0.3311832637191895,-0.43101059558677046
PSS_nominal_nm,0.033150585615656245,-0.19382292968230014,1.0,-0.10941072386383255,0.14665846941769445,0.05634702763272658,0.9999993070427061,-0.10935734975825785,0.1467111278111119,0.05638247630603084
HSQ_nominal_nm,0.025754992248629118,0.285540986817915,-0.10941072386383255,1.0,0.0048298776321030355,0.07412618409085268,-0.10938444715538512,0.999998582797904,0.004885848220855334,0.07414535646581161
SOC_nominal_nm,0.05627962197331313,-0.3310138716463512,0.14665846941769445,0.0048298776321030355,1.0,0.10058639218708562,0.1467040079630798,0.004913757005294456,0.9999969904202952,0.10065338244413294
TiO2_nominal_nm,0.11263821663834926,-0.4309453061621641,0.05634702763272658,0.07412618409085268,0.10058639218708562,1.0,0.05645898016778089,0.0742962658889343,0.10084690213585426,0.9999988734392466
L_fft_um*PSS_nominal_nm,0.034173089745845084,-0.19390150988411228,0.9999993070427061,-0.10938444715538512,0.1467040079630798,0.05645898016778089,1.0,-0.10932949505635098,0.1467591505569073,0.05649585561862395
L_fft_um*HSQ_nominal_nm,0.027334044483099177,0.2853987656115037,-0.10935734975825785,0.999998582797904,0.004913757005294456,0.0742962658889343,-0.10932949505635098,1.0,0.004973488108861996,0.07431763818252378
L_fft_um*SOC_nominal_nm,0.058659021806673706,-0.3311832637191895,0.1467111278111119,0.004885848220855334,0.9999969904202952,0.10084690213585426,0.1467591505569073,0.004973488108861996,1.0,0.10091720214090037
L_fft_um*TiO2_nominal_nm,0.11401341711758593,-0.43101059558677046,0.05638247630603084,0.07414535646581161,0.10065338244413294,0.9999988734392466,0.05649585561862395,0.07431763818252378,0.10091720214090037,1.0
