wavelength_um,reflectance_original,reflectance_filtered
0.2,0.8697834161512611,0.6613495349884033
0.20002000100005002,0.8698162094459386,0.6613834500312805
0.20004000200010003,0.8698219839814372,0.661415696144104
0.20006000300015,0.8698017703605054,0.661446213722229
0.2000800040002,0.8697563081385129,0.6614750623703003
0.20010000500025002,0.8696860480186768,0.6615021824836731
0.20012000600030003,0.869591153010427,0.6615276336669922
0.20014000700035003,0.8694714985949242,0.6615514159202576
0.20016000800040004,0.8693266719129342,0.6615734696388245
0.20018000900045002,0.869155969974593,0.6615938544273376
0.20020001000050003,0.8689583968441976,0.6616125106811523
0.20022001100055004,0.868732659739829,0.6616294980049133
0.20024001200060004,0.8684771639535359,0.6616447567939758
0.20026001300065005,0.8681900064626767,0.6616583466529846
0.20028001400070006,0.8678689680789112,0.6616702675819397
0.20030001500075004,0.8675115039433554,0.6616805195808411
0.20032001600080004,0.8671147321439104,0.661689043045044
0.20034001700085005,0.8666754201787327,0.6616958975791931
0.20036001800090006,0.8661899689680155,0.6617010235786438
0.20038001900095007,0.8656543940477639,0.6617045402526855
0.20040002000100007,0.8650643035325264,0.6617063283920288
0.20042002100105005,0.8644148723732513,0.6617064476013184
0.20044002200110006,0.8637008123651034,0.6617048978805542
0.20046002300115007,0.8629163372649813,0.6617016792297363
0.20048002400120007,0.86205512230857,0.66169673204422
0.20050002500125008,0.861110257276353,0.6616901755332947
0.2005200260013001,0.8600741921440763,0.6616819500923157
0.20054002700135007,0.8589386741915561,0.6616719961166382
0.20056002800140008,0.8576946752600355,0.6616604328155518
0.20058002900145008,0.8563323076206358,0.6616472005844116
0.2006000300015001,0.8548407266870017,0.6616322994232178
0.2006200310015501,0.8532080184425946,0.6616157293319702
0.2006400320016001,0.8514210691318579,0.6615975499153137
0.20066003300165008,0.8494654142849956,0.6615776419639587
0.2006800340017001,0.8473250636374422,0.6615561246871948
0.2007000350017501,0.8449822978424575,0.661532998085022
0.2007200360018001,0.842417432118692,0.6615082025527954
0.2007400370018501,0.8396085410610016,0.6614817380905151
0.2007600380019001,0.8365311377183811,0.6614536643028259
0.2007800390019501,0.833157798725725,0.6614239811897278
0.2008000400020001,0.8294577256937157,0.6613926291465759
0.20082004100205011,0.8253962311763756,0.6613596677780151
0.20084004200210012,0.8209341352914524,0.6613250970840454
0.20086004300215013,0.8160270564506462,0.661288857460022
0.2008800440022001,0.8106245766337721,0.6612510681152344
0.20090004500225012,0.8046692581706921,0.6612116098403931
0.20092004600230012,0.7980954851804685,0.6611706018447876
0.20094004700235013,0.790828098840109,0.6611279249191284
0.20096004800240014,0.7827807917876736,0.6610836982727051
0.20098004900245015,0.773854224034074,0.6610378623008728
0.20100005000250012,0.7639338216978111,0.6609904766082764
0.20102005100255013,0.7528872233297742,0.6609414219856262
0.20104005200260014,0.7405613495181023,0.6608908772468567
0.20106005300265015,0.7267790965850548,0.6608387231826782
0.20108005400270015,0.7113357040912485,0.6607849597930908
0.20110005500275016,0.6939949348204502,0.6607296466827393
0.20112005600280014,0.6744853612399269,0.6606727838516235
0.20114005700285015,0.6524973141821429,0.6606143712997437
0.20116005800290016,0.6276814797765349,0.6605543494224548
0.20118005900295016,0.5996508192902099,0.6604928374290466
0.20120006000300017,0.5679885537487301,0.6604297757148743
0.20122006100305018,0.5322665412434439,0.6603651642799377
0.20124006200310016,0.4920805841067935,0.6602990031242371
0.20126006300315016,0.44711195235406476,0.660231351852417
0.20128006400320017,0.39722708485409297,0.6601621508598328
0.20130006500325018,0.3426282251971511,0.6600914597511292
0.20132006600330019,0.2840626907405434,0.6600192189216614
0.20134006700335016,0.22308066568178359,0.6599454879760742
0.20136006800340017,0.1622924932171516,0.6598702669143677
0.20138006900345018,0.10551437695156618,0.6597935557365417
0.2014000700035002,0.05762799519368502,0.6597153544425964
0.2014200710035502,0.02397854030570161,0.6596356630325317
0.2014400720036002,0.009283784642224013,0.6595544815063477
0.20146007300365018,0.01633461275525705,0.659471869468689
0.2014800740037002,0.04505086726545217,0.6593877673149109
0.2015000750037502,0.09241186095780421,0.6593022346496582
0.2015200760038002,0.15332766543564139,0.6592152118682861
0.2015400770038502,0.2219954766924916,0.6591267585754395
0.20156007800390022,0.2931213330419955,0.6590368747711182
0.2015800790039502,0.3626298809779485,0.6589455604553223
0.2016000800040002,0.4278395819946573,0.6588528156280518
0.2016200810040502,0.4872887497585142,0.6587586998939514
0.20164008200410022,0.5404217309343404,0.6586630940437317
0.20166008300415023,0.5872752775326509,0.6585661172866821
0.20168008400420023,0.628227825534074,0.6584677696228027
0.2017000850042502,0.6638238531282281,0.6583679914474487
0.20172008600430022,0.6946622770481475,0.6582668423652649
0.20174008700435023,0.7213316246107646,0.6581642627716064
0.20176008800440023,0.7443762448507809,0.6580603718757629
0.20178008900445024,0.7642816843985949,0.6579551100730896
0.20180009000450025,0.7814711356993851,0.6578484773635864
0.20182009100455023,0.79630779959922,0.6577405333518982
0.20184009200460024,0.8091000402038766,0.6576312184333801
0.20186009300465024,0.8201075306955999,0.657520592212677
0.20188009400470025,0.8295474057808787,0.657408595085144
0.20190009500475026,0.8375999225425945,0.6572953462600708
0.20192009600480026,0.8444134090373969,0.6571807265281677
0.20194009700485024,0.850108430712556,0.6570648550987244
0.20196009800490025,0.8547811795916489,0.6569476127624512
0.20198009900495026,0.8585061218179858,0.6568291783332825
0.20200010000500027,0.8613379438721441,0.6567093729972839
0.20202010100505027,0.8633128271960236,0.6565883159637451
0.20204010200510025,0.8644490603337686,0.656466007232666
0.20206010300515026,0.8647469692412175,0.6563424468040466
0.20208010400520027,0.8641881099428864,0.656217634677887
0.20210010500525027,0.8627336213036214,0.6560916304588318
0.20212010600530028,0.8603215756647943,0.6559643149375916
0.2021401070053503,0.8568630858738493,0.6558358073234558
0.20216010800540027,0.8522368209248152,0.6557061076164246
0.20218010900545028,0.8462814383871671,0.655575156211853
0.20220011000550028,0.838785246558282,0.655443012714386
0.2022201110055503,0.8294721479637213,0.6553097367286682
0.2022401120056003,0.8179825772488345,0.6551752090454102
0.2022601130056503,0.8038477391996541,0.6550395488739014
0.20228011400570028,0.7864550463286516,0.6549026966094971
0.2023001150057503,0.7650024856388032,0.654764711856842
0.2023201160058003,0.7384403647055995,0.6546255350112915
0.2023401170058503,0.7054021599897321,0.654485285282135
0.2023601180059003,0.6641359997424091,0.654343843460083
0.20238011900595032,0.6124736330671342,0.6542012691497803
0.2024001200060003,0.5479328268488031,0.6540576219558716
0.2024201210060503,0.4681715233158809,0.6539128422737122
0.20244012200610031,0.3722144980706661,0.6537669897079468
0.20246012300615032,0.26302776149103557,0.6536200642585754
0.20248012400620033,0.15148590004201304,0.6534720659255981
0.20250012500625034,0.05923958486891106,0.6533229351043701
0.20252012600630032,0.013995765447921854,0.6531727910041809
0.20254012700635032,0.033632079856643154,0.6530216336250305
0.20256012800640033,0.11180347524363352,0.6528693437576294
0.20258012900645034,0.22292333895302835,0.6527161002159119
0.20260013000650035,0.3401734530719463,0.6525617837905884
0.20262013100655035,0.4468785693323033,0.6524065136909485
0.20264013200660033,0.536667566824669,0.6522501707077026
0.20266013300665034,0.6092581664207644,0.6520928740501404
0.20268013400670035,0.6668710595685924,0.6519345641136169
0.20270013500675035,0.7122909455069315,0.6517753005027771
0.20272013600680036,0.7480693580270117,0.6516150236129761
0.20274013700685034,0.7762945359398372,0.6514538526535034
0.20276013800690035,0.7985908714569107,0.6512916684150696
0.20278013900695036,0.8161910530708004,0.6511285901069641
0.20280014000700036,0.8300181324297458,0.6509645581245422
0.20282014100705037,0.8407564398604244,0.6507996320724487
0.20284014200710038,0.848906769583457,0.6506338119506836
0.20286014300715036,0.8548269261132185,0.650467038154602
0.20288014400720036,0.8587601038051635,0.6502993702888489
0.20290014500725037,0.8608533992258288,0.6501308679580688
0.20292014600730038,0.8611680948257612,0.6499614715576172
0.20294014700735039,0.859682565037676,0.6497912406921387
0.2029601480074004,0.8562878156386197,0.6496201157569885
0.20298014900745037,0.8507747218641908,0.6494481563568115
0.20300015000750038,0.8428108606932047,0.6492753624916077
0.2030201510075504,0.8319032704078859,0.649101734161377
0.2030401520076004,0.8173413305829753,0.6489273309707642
0.2030601530076504,0.7981111635242295,0.6487520933151245
0.2030801540077004,0.7727700302670205,0.6485760807991028
0.2031001550077504,0.7392688261583079,0.648399293422699
0.2031201560078004,0.6947227586204718,0.6482216715812683
0.2031401570078504,0.63518565871741,0.6480433344841003
0.2031601580079004,0.555670373328564,0.6478642821311951
0.20318015900795042,0.4511831410790226,0.6476843953132629
0.20320016000800042,0.3206552139540979,0.6475038528442383
0.2032201610080504,0.17645522231754912,0.6473225355148315
0.2032401620081004,0.05647105923862026,0.6471405029296875
0.20326016300815042,0.015959680976575658,0.6469578146934509
0.20328016400820043,0.07990612898580865,0.646774411201477
0.20330016500825043,0.21318050560108143,0.6465902924537659
0.2033201660083004,0.3603218655072862,0.6464055180549622
0.20334016700835042,0.48830061603198505,0.6462200880050659
0.20336016800840043,0.5884925380001624,0.6460340023040771
0.20338016900845043,0.663653232773038,0.6458472609519958
0.20340017000850044,0.7192995067176053,0.645659863948822
0.20342017100855045,0.7604741685318599,0.6454718708992004
0.20344017200860043,0.7910285281260105,0.6452832818031311
0.20346017300865044,0.8137177327866117,0.645094096660614
0.20348017400870044,0.8304606337428241,0.6449043154716492
0.20350017500875045,0.8425736236031727,0.6447138786315918
0.20352017600880046,0.8509421703123053,0.6445229649543762
0.20354017700885046,0.8561360589743189,0.6443313956260681
0.20356017800890044,0.8584812615171584,0.6441393494606018
0.20358017900895045,0.858098727189805,0.6439467072486877
0.20360018000900046,0.854915884163075,0.6437535881996155
0.20362018100905047,0.8486519713452172,0.6435598731040955
0.20364018200910047,0.8387733006158242,0.6433656811714172
0.20366018300915048,0.8244083650699496,0.6431710124015808
0.20368018400920046,0.804204406539545,0.6429758071899414
0.20370018500925047,0.7760966416125843,0.6427801847457886
0.20372018600930047,0.7369543280562881,0.6425840258598328
0.20374018700935048,0.6820929283985135,0.6423874497413635
0.2037601880094005,0.6048131797889931,0.6421903967857361
0.2037801890094505,0.4968315728915824,0.6419928669929504
0.20380019000950048,0.3526454098175936,0.6417949795722961
0.20382019100955048,0.1845797601911456,0.6415966153144836
0.2038401920096005,0.04790124963927058,0.6413978338241577
0.2038601930096505,0.026939943604949296,0.6411986947059631
0.2038801940097005,0.13923634338777108,0.6409991383552551
0.2039001950097505,0.3091724158657446,0.6407992243766785
0.2039201960098005,0.46574035621211607,0.6405988931655884
0.2039401970098505,0.5856235332560136,0.6403982639312744
0.2039601980099005,0.6714858894789699,0.640197217464447
0.2039801990099505,0.731923852033159,0.6399958729743958
0.20400020001000052,0.774493874124118,0.6397941708564758
0.2040202010100505,0.8045745203993337,0.639592170715332
0.2040402020101005,0.825746498997234,0.6393898725509644
0.20406020301015051,0.8403321100533575,0.6391872763633728
0.20408020401020052,0.8498028172406604,0.6389843225479126
0.20410020501025053,0.8550418074475666,0.6387811303138733
0.20412020601030054,0.8564968793230091,0.6385776996612549
0.20414020701035052,0.8542533587462361,0.6383739709854126
0.20416020801040052,0.8480420640248254,0.6381700038909912
0.20418020901045053,0.8371820957577899,0.6379657983779907
0.20420021001050054,0.820441390887575,0.6377613544464111
0.20422021101055055,0.7957764784441729,0.6375566720962524
0.20424021201060055,0.7598866814085623,0.6373518109321594
0.20426021301065053,0.7075093436430313,0.6371467113494873
0.20428021401070054,0.6305213165630851,0.6369414329528809
0.20430021501075055,0.5177661026863704,0.6367360353469849
0.20432021601080055,0.3599647743950471,0.6365303993225098
