mode,rank,success,cost,rmse_normalized,nfev,optimality,message,fit_Air_um,fit_HSQ_nm,fit_PSS_nm,fit_SOC_nm,fit_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,205.6602393,2.307144758,21,0.0504918487,`ftol` termination condition is satisfied.,1000.007559,40.02242341,1.000003145,55.19285871,5,1000,40,5,50,20
I,2,False,219.1977388,2.403290977,30,2.774897145,The maximum number of function evaluations is exceeded.,997.0380953,20,1,30,40.42108277,997.0690192,58.11752851,1.217001572,33.3008591,16.17138414
D,1,True,191.161382,2.136064019,19,1.222716131,`ftol` termination condition is satisfied.,1000.266201,60,19.99975792,65.37773351,38.6331485,1000.274004,38.57702297,5.254641073,78.49853388,45.71396071
D,2,True,196.6958012,2.236396688,24,3.703034327,`ftol` termination condition is satisfied.,1000.006614,31.92519837,2.129513043,52.68698022,22.74372219,1000,40,5,50,20
joint,1,False,398.7570348,2.285994466,30,18.25727156,The maximum number of function evaluations is exceeded.,999.6500294,41.28724538,4.4768354,79.99999963,59.24900806,999.6691877,23.03046394,6.590429595,78.28904464,54.90443155
joint,2,False,423.6430256,2.345793358,30,37.37066094,The maximum number of function evaluations is exceeded.,1000.014614,20.00000001,1,49.2775202,28.41961486,1000,40,5,50,20
