mode,success,cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,205.6602393,2.307144758,0.3450623076,17.68936554,21,0.0504918487,8353.515801,1000.007559,0.007558641114,40.02242341,0.02242341275,1.000003145,-3.999996855,55.19285871,5.192858715,5,-15
D,True,191.161382,2.136064019,0.349841361,15.14467661,19,1.222716131,11546.29288,1000.266201,0.2662010231,60,20,19.99975792,14.99975792,65.37773351,15.37773351,38.6331485,18.6331485
joint,False,398.7570348,2.285994466,0.3456949134,15.79593846,30,18.25727156,10084.70446,999.6500294,-0.3499705711,41.28724538,1.287245385,4.4768354,-0.5231645995,79.99999963,29.99999963,59.24900806,39.24900806
