wavelength_nm,R_avg_percent,R_s_percent,R_p_percent
400.0,33.05001150675386,33.05001150675386,33.05001150675386
400.80160320641284,32.73518092242753,32.73518092242753,32.73518092242753
401.60320641282567,32.423973892606774,32.423973892606774,32.423973892606774
402.40480961923845,32.11777071119767,32.11777071119767,32.11777071119767
403.2064128256513,31.818459821773825,31.818459821773825,31.818459821773825
404.0080160320641,31.521768857565846,31.521768857565846,31.521768857565846
404.80961923847696,31.231538713633512,31.231538713633512,31.231538713633512
405.6112224448898,30.944898482045453,30.944898482045453,30.944898482045453
406.4128256513026,30.661446916416896,30.661446916416896,30.661446916416896
407.2144288577154,30.383691851526713,30.383691851526713,30.383691851526713
408.01603206412824,30.107786998011292,30.107786998011292,30.107786998011292
408.8176352705411,29.836694886486555,29.836694886486555,29.836694886486555
409.6192384769539,29.56840267229629,29.56840267229629,29.56840267229629
410.42084168336675,29.30266199505138,29.30266199505138,29.30266199505138
411.2224448897796,29.04121887052925,29.04121887052925,29.04121887052925
412.02404809619236,28.781186416155414,28.781186416155414,28.781186416155414
412.8256513026052,28.525367388353658,28.525367388353658,28.525367388353658
413.62725450901803,28.271417115803487,28.271417115803487,28.271417115803487
414.42885771543087,28.020102934805102,28.020102934805102,28.020102934805102
415.2304609218437,27.771808891865547,27.771808891865547,27.771808891865547
416.03206412825654,27.52486608664238,27.52486608664238,27.52486608664238
416.8336673346693,27.281900152364923,27.281900152364923,27.281900152364923
417.63527054108215,27.040003688893332,27.040003688893332,27.040003688893332
418.436873747495,26.801245162637287,26.801245162637287,26.801245162637287
419.2384769539078,26.56428410111924,26.56428410111924,26.56428410111924
420.04008016032066,26.329481049042965,26.329481049042965,26.329481049042965
420.8416833667335,26.097119551779464,26.097119551779464,26.097119551779464
421.64328657314627,25.866092964492317,25.866092964492317,25.866092964492317
422.4448897795591,25.638312733402774,25.638312733402774,25.638312733402774
423.24649298597194,25.41147187352571,25.41147187352571,25.41147187352571
424.0480961923848,25.187772448993723,25.187772448993723,25.187772448993723
424.8496993987976,24.965287675174775,24.965287675174775,24.965287675174775
425.65130260521045,24.745282347008356,24.745282347008356,24.745282347008356
426.4529058116232,24.527037368636893,24.527037368636893,24.527037368636893
427.25450901803606,24.31072131620025,24.31072131620025,24.31072131620025
428.0561122244489,24.096613513748352,24.096613513748352,24.096613513748352
428.85771543086173,23.883933049004195,23.883933049004195,23.883933049004195
429.65931863727457,23.673866805653056,23.673866805653056,23.673866805653056
430.4609218436874,23.46481121315904,23.46481121315904,23.46481121315904
431.2625250501002,23.258706907266223,23.258706907266223,23.258706907266223
432.064128256513,23.053423514160826,23.053423514160826,23.053423514160826
432.86573146292585,22.851011948190838,22.851011948190838,22.851011948190838
433.6673346693387,22.64956760176265,22.64956760176265,22.64956760176265
434.4689378757515,22.450663657775312,22.450663657775312,22.450663657775312
435.2705410821643,22.25298939678514,22.25298939678514,22.25298939678514
436.07214428857714,22.057586694141364,22.057586694141364,22.057586694141364
436.87374749498997,21.863621641977176,21.863621641977176,21.863621641977176
437.6753507014028,21.671688123945877,21.671688123945877,21.671688123945877
