feature_a,feature_b,corr,abs_corr
PSS_nominal_nm,L_fft_um*PSS_nominal_nm,0.9999992364987424,0.9999992364987424
HSQ_nominal_nm,L_fft_um*HSQ_nominal_nm,0.9999984352568351,0.9999984352568351
SOC_nominal_nm,L_fft_um*SOC_nominal_nm,0.9999967430613256,0.9999967430613256
TiO2_nominal_nm,L_fft_um*TiO2_nominal_nm,0.9999989075417876,0.9999989075417876
