mode,rank,success,cost,rmse_normalized,nfev,optimality,message,fit_Air_um,fit_HSQ_nm,fit_PSS_nm,fit_SOC_nm,fit_TiO2_nm,x0_Air_um,x0_HSQ_nm,x0_PSS_nm,x0_SOC_nm,x0_TiO2_nm
I,1,True,2.830037952,0.05672013769,7,0.0005431953566,Both `ftol` and `xtol` termination conditions are satisfied.,1000.000114,30.06947648,11.37530292,38.89658866,39.76956217,1000,30,10,40,40
I,2,True,1246.099605,1.760412749,23,37.35742841,`xtol` termination condition is satisfied.,999.6808042,20,5.38883795,80,50.35166386,999.6691877,23.03046394,6.590429595,78.28904464,54.90443155
I,3,True,2261.123834,2.461441657,46,1.111083195,`ftol` termination condition is satisfied.,995.2202718,20,11.02701209,80,35.58731811,995.2252928,29.74442059,2.954665816,72.46046196,41.19422433
I,4,True,2300.630327,2.487969337,44,11.69510512,`ftol` termination condition is satisfied.,997.0757498,60,14.25155011,30,19.6811913,997.0690192,58.11752851,1.217001572,33.3008591,16.17138414
I,5,True,2336.127939,2.520608011,54,7.37497363,`ftol` termination condition is satisfied.,996.1561328,20,2.838660114,72.78460102,25.29850628,996.1296265,41.11892133,6.430564476,61.03444742,28.96012756
I,6,True,2342.487382,2.508539762,87,0.4231349428,`ftol` termination condition is satisfied.,998.9829708,20,12.71783949,79.1177525,32.58667651,999.0180943,22.9883942,12.95115567,56.08070956,44.58059786
I,7,False,1598.19709,1.951044802,160,18324.20134,The maximum number of function evaluations is exceeded.,1000.262881,20.00000121,1.461926312,77.83243604,14.9149488,1000.274004,38.57702297,5.254641073,78.49853388,45.71396071
I,8,False,2352.696391,2.495004625,160,90.55449587,The maximum number of function evaluations is exceeded.,996.0190332,38.50732301,20,80,27.53666964,996.023656,49.68659259,17.34402784,45.93876653,44.59810951
D,1,True,6.280774165,0.08688245785,15,7.019798037,`xtol` termination condition is satisfied.,1000.00117,28.80476318,16.77922353,34.60953137,39.6074718,1000,30,10,40,40
D,2,True,1745.304866,2.124069481,43,51.03774224,`ftol` termination condition is satisfied.,999.5021859,60,20,80,19.30708533,999.5670851,43.05828995,6.844963715,31.12945575,45.22546515
D,3,True,1792.998633,2.11814054,66,9.29988768,`ftol` termination condition is satisfied.,1000.605545,28.98542975,19.99999964,30,14.43578609,1000.646984,35.81043545,1.690012644,39.71616182,7.741064178
D,4,True,1856.155184,2.155311947,29,20.83655938,`ftol` termination condition is satisfied.,1002.221399,60,20,45.51937128,16.20257498,1002.240379,22.23282133,5.983901458,44.23134145,40.01178647
D,5,True,1865.853273,2.202451982,76,34.2506032,`xtol` termination condition is satisfied.,1000.625568,35.19379172,20,30,14.32623672,1000.650689,34.68150768,19.78992125,33.00130597,5.179889706
D,6,True,1914.487693,2.190555665,43,29.39504124,`xtol` termination condition is satisfied.,1004.100458,20.00101701,19.99999733,42.34478643,15.76607949,1004.079008,55.84694645,14.34803005,42.87280599,11.15076652
D,7,True,1918.256092,2.192879589,74,6.37175513,`ftol` termination condition is satisfied.,1004.689548,52.9935919,20,63.89154138,15.40987958,1004.710173,22.89966757,1.144089906,59.54967348,42.57546042
D,8,True,2042.592462,2.338108956,33,11.91927544,`ftol` termination condition is satisfied.,997.0884249,20,20,79.69871522,52.2672102,997.106998,22.66705745,9.089849545,72.96544817,54.42426654
joint,1,True,10.10547035,0.07707203519,12,38.20629623,`xtol` termination condition is satisfied.,1000.000699,29.58918538,14.63817895,36.20566602,39.57500358,1000,30,10,40,40
joint,2,True,4203.655254,2.328772341,46,406.437222,`xtol` termination condition is satisfied.,995.4925374,60,20,47.80157507,16.79388377,995.5078355,33.71858505,18.6315374,41.85296394,23.09841319
joint,3,True,4208.107003,2.336426433,120,30.10061434,`xtol` termination condition is satisfied.,996.9401385,43.29958953,20,30,15.16446213,996.9300307,26.43355849,3.627494491,59.07718408,15.59691895
joint,4,True,4250.804211,2.341362131,106,16.08014523,`ftol` termination condition is satisfied.,995.2655406,52.56593017,20,80,16.52472983,995.3053219,24.93977969,12.66627665,79.1736409,27.20946028
joint,5,True,4287.332045,2.372602874,59,11.8898162,`ftol` termination condition is satisfied.,1001.353442,60,20,58.57167819,15.84100613,1001.387135,53.20426621,19.46105534,53.81156626,11.46464676
joint,6,True,4361.807979,2.444838382,26,10.43231955,`ftol` termination condition is satisfied.,998.5445583,20.00000004,19.99999248,59.05733976,50.44353999,998.5361871,29.30622971,12.29399658,61.2472832,49.31928014
joint,7,True,4487.498874,2.476656794,121,10.9820441,`ftol` termination condition is satisfied.,1004.843183,20,20,78.98037141,48.32641927,1004.851034,30.38337225,4.154781352,70.51584521,55.3325775
joint,8,True,4535.770889,2.471717391,116,16.26078221,`ftol` termination condition is satisfied.,998.3798499,20.00000004,19.99999998,74.20489409,53.08316882,998.3519047,40.07773257,14.42233785,76.60169377,59.76999918
