mode,success,cost,rmse_normalized,rmse_I,rmse_dIdL,nfev,optimality,condition_number,fit_Air_um,error_Air_um,fit_HSQ_nm,error_HSQ_nm,fit_PSS_nm,error_PSS_nm,fit_SOC_nm,error_SOC_nm,fit_TiO2_nm,error_TiO2_nm
I,True,1306.409338,1.700788454,0.308415804,17.48459087,67,4.342818759,10991.06702,1000.161361,0.1613606752,51.80602748,11.80602748,20,15,80,30,60,40
D,True,1471.441256,2.034703787,0.2718603358,16.11092482,33,19.66496632,25261.61007,1000.632871,0.6328713849,20,-20,1,-4,57.19343743,7.193437428,5,-15
joint,False,3337.820173,2.014041437,0.343418567,16.86304799,160,425.2317466,13422.14699,999.9762816,-0.02371840454,20,-20,1,-4,52.37022651,2.37022651,51.90485767,31.90485767
