L_fft_um,L_fixed_lsq_um,L_linear_corrected_um,L_prior_joint_um,cavity_id,cavity_true_um,d1_prior_fit_nm,d2_prior_fit_nm,d3_prior_fit_nm,d4_prior_fit_nm,error_fft_linear_nm,error_fixed_lsq_nm,error_prior_joint_nm,fft_peak_height,film_d1_true_nm,film_d2_true_nm,film_d3_true_nm,film_d4_true_nm,film_delta1_true_nm,film_delta2_true_nm,film_delta3_true_nm,film_delta4_true_nm,fixed_cost,fixed_nfev,fixed_status,linear_a,linear_b_um,prior_cost,prior_nfev,prior_status,process_id
1000.9749512524995,999.999999976482,999.9962532784442,1000.0000000000002,0,1000.0,0.0,0.0,0.0,0.0,-3.7467215557853706,-2.3518055058957543e-05,2.2737367544323206e-10,587.2556870359966,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,1.1483436522924251e-08,4,3,0.9992880386579274,-0.2660425043805491,1.510809284313847e-05,4,3,0
1051.0161991901057,1049.9999999999866,1050.0018737820096,1050.0,1,1050.0,0.0,0.0,0.0,0.0,1.873782009624847,-1.3415046851150692e-08,0.0,544.9921597668236,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,3.636383861099793e-15,4,3,0.9992880386579274,-0.2660425043805491,1.510809284313847e-05,4,3,0
1101.057447127712,1100.000000000021,1100.0074942855754,1100.000000000021,2,1100.0,0.0,0.0,0.0,0.0,7.494285575376125,2.091837814077735e-08,2.091837814077735e-08,508.2619537805434,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,9.498118887004556e-15,4,3,0.9992880386579274,-0.2660425043805491,1.510809284313847e-05,4,3,0
1151.0799460027713,1149.9999997701836,1149.9943790752018,1150.0000000000007,3,1150.0,0.0,0.0,0.0,0.0,-5.620924798222404,-0.0002298163508385187,6.821210263296962e-10,473.2090178000225,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,1.083231623043889e-06,4,3,0.9992880386579274,-0.2660425043805491,1.510809284313847e-05,4,3,0
1201.1211939403777,1199.9999995787675,1199.9999995787675,1200.0000008230877,4,1200.0,0.0,0.0,0.0,0.0,-0.0004212324711261317,-0.0004212324711261317,0.0008230877028836403,452.6570756646005,40.0,5.0,50.0,20.0,0.0,0.0,0.0,0.0,3.6702468222854415e-06,2,3,0.9992880386579274,-0.2660425043805491,1.510809284313847e-05,4,3,0
1000.9562021899527,1000.0215546316618,999.9775175645051,1000.0215546316618,0,1000.0,0.0,0.0,0.0,0.0,-22.482435494907804,21.554631661842905,21.554631661842905,680.2661911588792,41.17735494517291,13.8164650874577,45.20171529606182,26.31561994673139,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,1167.3065748481247,8,3,0.9992880386579274,-0.2660425043805491,5850.4951702631715,8,3,1
1050.997450127559,1050.0215874973328,1049.9831380680707,1050.0215874973328,1,1050.0,0.0,0.0,0.0,0.0,-16.861931929270213,21.58749733280274,21.58749733280274,622.5046020300832,41.17735494517291,13.8164650874577,45.20171529606182,26.31561994673139,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,1202.2749675554178,8,3,0.9992880386579274,-0.2660425043805491,5850.4951702631715,8,3,1
1101.0386980651651,1100.0216250756644,1099.9887585716363,1100.0216253855137,2,1100.0,0.0,0.0,0.0,0.0,-11.241428363746309,21.625075664360338,21.625385513743822,596.1775278695679,41.17735494517291,13.8164650874577,45.20171529606182,26.31561994673139,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,1133.6597116265943,7,3,0.9992880386579274,-0.2660425043805491,5850.4951702631715,8,3,1
1151.0799460027713,1150.021635033061,1149.9943790752018,1150.021635466845,3,1150.0,0.0,0.0,0.0,0.0,-5.620924798222404,21.63503306110215,21.635466845054907,549.4673199868465,41.17735494517291,13.8164650874577,45.20171529606182,26.31561994673139,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,1170.2248842740908,7,3,0.9992880386579274,-0.2660425043805491,5850.4951702631715,8,3,1
1201.1211939403777,1200.0215515228065,1199.9999995787675,1200.0215524563253,4,1200.0,0.0,0.0,0.0,0.0,-0.0004212324711261317,21.551522806475987,21.552456325252933,502.46447946803806,41.17735494517291,13.8164650874577,45.20171529606182,26.31561994673139,1.1773549451729082,8.8164650874577,-4.798284703938178,6.315619946731388,1177.0290319589437,6,3,0.9992880386579274,-0.2660425043805491,5850.4951702631715,8,3,1
1000.9937003150465,1000.0004610305471,1000.0149889923835,1000.0004610305471,0,1000.0,0.0,0.0,0.0,0.0,14.98899238345075,0.4610305470578169,0.4610305470578169,527.4601331815554,35.5814890824871,13.07717166954778,52.937861365419096,16.65597666629234,-4.418510917512899,8.07717166954778,2.937861365419092,-3.3440233337076624,277.81656793033693,6,3,0.9992880386579274,-0.2660425043805491,1413.23444859021,6,3,2
1051.0161991901057,1050.0004113636649,1050.0018737820096,1050.0004111466826,1,1050.0,0.0,0.0,0.0,0.0,1.873782009624847,0.41136366485261533,0.4111466826088872,491.75382915015734,35.5814890824871,13.07717166954778,52.937861365419096,16.65597666629234,-4.418510917512899,8.07717166954778,2.937861365419092,-3.3440233337076624,273.5581898410494,5,3,0.9992880386579274,-0.2660425043805491,1413.23444859021,6,3,2
1101.057447127712,1100.0005751669664,1100.0074942855754,1100.0005751669664,2,1100.0,0.0,0.0,0.0,0.0,7.494285575376125,0.575166966427787,0.575166966427787,460.0151642619477,35.5814890824871,13.07717166954778,52.937861365419096,16.65597666629234,-4.418510917512899,8.07717166954778,2.937861365419092,-3.3440233337076624,297.37865477388493,6,3,0.9992880386579274,-0.2660425043805491,1413.23444859021,6,3,2
1151.0986950653182,1150.000451650542,1150.013114789141,1150.000451650542,3,1150.0,0.0,0.0,0.0,0.0,13.11478914090003,0.4516505418905581,0.4516505418905581,430.0268867465864,35.5814890824871,13.07717166954778,52.937861365419096,16.65597666629234,-4.418510917512899,8.07717166954778,2.937861365419092,-3.3440233337076624,278.38838022929735,6,3,0.9992880386579274,-0.2660425043805491,1413.23444859021,6,3,2
1201.1211939403777,1200.000544425755,1199.9999995787675,1200.000545171098,4,1200.0,0.0,0.0,0.0,0.0,-0.0004212324711261317,0.5444257549243048,0.5451710981105862,410.879724085998,35.5814890824871,13.07717166954778,52.937861365419096,16.65597666629234,-4.418510917512899,8.07717166954778,2.937861365419092,-3.3440233337076624,286.0926389065301,4,3,0.9992880386579274,-0.2660425043805491,1413.23444859021,6,3,2
