wavelength_um,reflectance_Rp
0.2,0.8697834161512611
0.20002000100005002,0.8698162094459386
0.20004000200010003,0.8698219839814372
0.20006000300015,0.8698017703605054
0.2000800040002,0.8697563081385129
0.20010000500025002,0.8696860480186768
0.20012000600030003,0.869591153010427
0.20014000700035003,0.8694714985949242
0.20016000800040004,0.8693266719129342
0.20018000900045002,0.869155969974593
0.20020001000050003,0.8689583968441976
0.20022001100055004,0.868732659739829
0.20024001200060004,0.8684771639535359
0.20026001300065005,0.8681900064626767
0.20028001400070006,0.8678689680789112
0.20030001500075004,0.8675115039433554
0.20032001600080004,0.8671147321439104
0.20034001700085005,0.8666754201787327
0.20036001800090006,0.8661899689680155
0.20038001900095007,0.8656543940477639
0.20040002000100007,0.8650643035325264
0.20042002100105005,0.8644148723732513
0.20044002200110006,0.8637008123651034
0.20046002300115007,0.8629163372649813
0.20048002400120007,0.86205512230857
0.20050002500125008,0.861110257276353
0.2005200260013001,0.8600741921440763
0.20054002700135007,0.8589386741915561
0.20056002800140008,0.8576946752600355
0.20058002900145008,0.8563323076206358
0.2006000300015001,0.8548407266870017
0.2006200310015501,0.8532080184425946
0.2006400320016001,0.8514210691318579
0.20066003300165008,0.8494654142849956
0.2006800340017001,0.8473250636374422
0.2007000350017501,0.8449822978424575
0.2007200360018001,0.842417432118692
0.2007400370018501,0.8396085410610016
0.2007600380019001,0.8365311377183811
0.2007800390019501,0.833157798725725
0.2008000400020001,0.8294577256937157
0.20082004100205011,0.8253962311763756
0.20084004200210012,0.8209341352914524
0.20086004300215013,0.8160270564506462
0.2008800440022001,0.8106245766337721
0.20090004500225012,0.8046692581706921
0.20092004600230012,0.7980954851804685
0.20094004700235013,0.790828098840109
0.20096004800240014,0.7827807917876736
0.20098004900245015,0.773854224034074
0.20100005000250012,0.7639338216978111
0.20102005100255013,0.7528872233297742
0.20104005200260014,0.7405613495181023
0.20106005300265015,0.7267790965850548
0.20108005400270015,0.7113357040912485
0.20110005500275016,0.6939949348204502
0.20112005600280014,0.6744853612399269
0.20114005700285015,0.6524973141821429
0.20116005800290016,0.6276814797765349
0.20118005900295016,0.5996508192902099
0.20120006000300017,0.5679885537487301
0.20122006100305018,0.5322665412434439
0.20124006200310016,0.4920805841067935
0.20126006300315016,0.44711195235406476
0.20128006400320017,0.39722708485409297
0.20130006500325018,0.3426282251971511
0.20132006600330019,0.2840626907405434
0.20134006700335016,0.22308066568178359
0.20136006800340017,0.1622924932171516
0.20138006900345018,0.10551437695156618
0.2014000700035002,0.05762799519368502
0.2014200710035502,0.02397854030570161
0.2014400720036002,0.009283784642224013
0.20146007300365018,0.01633461275525705
0.2014800740037002,0.04505086726545217
0.2015000750037502,0.09241186095780421
0.2015200760038002,0.15332766543564139
0.2015400770038502,0.2219954766924916
0.20156007800390022,0.2931213330419955
0.2015800790039502,0.3626298809779485
0.2016000800040002,0.4278395819946573
0.2016200810040502,0.4872887497585142
0.20164008200410022,0.5404217309343404
0.20166008300415023,0.5872752775326509
0.20168008400420023,0.628227825534074
0.2017000850042502,0.6638238531282281
0.20172008600430022,0.6946622770481475
0.20174008700435023,0.7213316246107646
0.20176008800440023,0.7443762448507809
0.20178008900445024,0.7642816843985949
0.20180009000450025,0.7814711356993851
0.20182009100455023,0.79630779959922
0.20184009200460024,0.8091000402038766
0.20186009300465024,0.8201075306955999
0.20188009400470025,0.8295474057808787
0.20190009500475026,0.8375999225425945
0.20192009600480026,0.8444134090373969
0.20194009700485024,0.850108430712556
0.20196009800490025,0.8547811795916489
0.20198009900495026,0.8585061218179858
0.20200010000500027,0.8613379438721441
0.20202010100505027,0.8633128271960236
0.20204010200510025,0.8644490603337686
0.20206010300515026,0.8647469692412175
0.20208010400520027,0.8641881099428864
0.20210010500525027,0.8627336213036214
0.20212010600530028,0.8603215756647943
0.2021401070053503,0.8568630858738493
0.20216010800540027,0.8522368209248152
0.20218010900545028,0.8462814383871671
0.20220011000550028,0.838785246558282
0.2022201110055503,0.8294721479637213
0.2022401120056003,0.8179825772488345
0.2022601130056503,0.8038477391996541
0.20228011400570028,0.7864550463286516
0.2023001150057503,0.7650024856388032
0.2023201160058003,0.7384403647055995
0.2023401170058503,0.7054021599897321
0.2023601180059003,0.6641359997424091
0.20238011900595032,0.6124736330671342
0.2024001200060003,0.5479328268488031
0.2024201210060503,0.4681715233158809
0.20244012200610031,0.3722144980706661
0.20246012300615032,0.26302776149103557
0.20248012400620033,0.15148590004201304
0.20250012500625034,0.05923958486891106
0.20252012600630032,0.013995765447921854
0.20254012700635032,0.033632079856643154
0.20256012800640033,0.11180347524363352
0.20258012900645034,0.22292333895302835
0.20260013000650035,0.3401734530719463
0.20262013100655035,0.4468785693323033
0.20264013200660033,0.536667566824669
0.20266013300665034,0.6092581664207644
0.20268013400670035,0.6668710595685924
0.20270013500675035,0.7122909455069315
0.20272013600680036,0.7480693580270117
0.20274013700685034,0.7762945359398372
0.20276013800690035,0.7985908714569107
0.20278013900695036,0.8161910530708004
0.20280014000700036,0.8300181324297458
0.20282014100705037,0.8407564398604244
0.20284014200710038,0.848906769583457
0.20286014300715036,0.8548269261132185
0.20288014400720036,0.8587601038051635
0.20290014500725037,0.8608533992258288
0.20292014600730038,0.8611680948257612
0.20294014700735039,0.859682565037676
0.2029601480074004,0.8562878156386197
0.20298014900745037,0.8507747218641908
0.20300015000750038,0.8428108606932047
0.2030201510075504,0.8319032704078859
0.2030401520076004,0.8173413305829753
0.2030601530076504,0.7981111635242295
0.2030801540077004,0.7727700302670205
0.2031001550077504,0.7392688261583079
0.2031201560078004,0.6947227586204718
0.2031401570078504,0.63518565871741
0.2031601580079004,0.555670373328564
0.20318015900795042,0.4511831410790226
0.20320016000800042,0.3206552139540979
0.2032201610080504,0.17645522231754912
