Wavelength(um),Intensity
0.4,0.8103759192880968
0.40001,0.8068249010705566
0.40002,0.74626040502154
0.40003,0.5636512843683801
0.40004,0.1640979956668565
0.40005,0.229200832809941
0.40006,0.6056291609027035
0.40007,0.7610608489478216
0.40008,0.8105572429875939
0.40009,0.8067648671282274
0.4001,0.74588248343023
0.40011,0.5625504207279173
0.40012000000000003,0.1626172748273295
0.40013,0.2306636419277245
0.40014,0.6064576917422597
0.40014999999999995,0.7613668648268955
0.40016,0.8106744781216536
0.40017,0.8067932038594867
0.40018,0.7458348333215391
0.40019,0.5623789479553566
0.4002,0.1623681286775687
0.40020999999999995,0.2307121198565966
0.40022,0.6064896249443604
0.40023000000000003,0.7613950987155054
0.40024,0.8107287194196743
0.40025,0.8069106604535744
0.40026,0.7461185092379554
0.40026999999999996,0.5631389836754702
0.40027999999999997,0.1633495315359335
0.40029000000000003,0.2293445386102598
0.4003,0.6057247331538343
0.40031,0.761145255661976
0.40032,0.8107195471038774
0.40032999999999996,0.8071163702684689
0.40034,0.7467311250859733
0.40035000000000004,0.5648241902729971
0.40036,0.1655765778214435
0.40037,0.226565461221784
0.40038,0.6041551616050586
0.40038999999999997,0.7606140677524174
0.4004,0.8106450289586016
0.40041000000000004,0.8074078615689716
0.40042,0.7476668924146862
0.40043,0.5674198225500318
0.40044,0.1690795731291178
0.40045,0.2223865831826025
0.40046,0.6017653283445598
0.40047000000000005,0.7597952484008281
0.40048,0.8105017136512104
0.40049,0.8077810800871358
0.4005,0.7489167102401986
0.40051,0.5709028529292596
0.40052,0.1739020572160344
0.40053,0.2168285233821907
0.40054,0.5985317327986089
0.40055,0.7586794014960632
0.40056,0.8102846146825738
0.40057,0.8082304225503025
0.40058,0.7504683040774184
0.40059,0.5752421822860347
0.4006,0.180097778537868
0.40061,0.2099236319266529
0.40062000000000003,0.5944226757037879
0.40063,0.757253882768375
0.40064,0.8099871838399244
0.40064999999999995,0.8087487798386901
0.40066,0.7523064105827002
0.40067,0.5803989469528614
0.40068,0.187726668346455
0.40069,0.2017199070698337
0.4007,0.5893978965788578
0.40070999999999996,0.7555026093910227
0.40072,0.8096012725027524
0.40073000000000003,0.8093275879156792
0.40074,0.7544130029111814
0.40075,0.5863269332748972
0.40076,0.1968499085567977
0.40076999999999996,0.1922861242909039
0.40077999999999997,0.5834081394350366
0.40079000000000004,0.7534058123689882
0.4008,0.8091170786058731
0.40081,0.8099568842454188
0.40082,0.7567675508330963
0.40082999999999996,0.5929731092611987
0.40084,0.2075242529048527
0.40085000000000004,0.1817182675136441
0.40086,0.5763946650632581
0.40087,0.7509397247170031
0.40088,0.808523076464686
0.40088999999999997,0.810625366996127
0.4009,0.7593473086642429
0.40091000000000004,0.6002782792579844
