Wavelength (um), Intensity
0.502890, 0.374482
0.502900, 0.453521
0.502910, 0.564147
0.502920, 0.610917
0.502930, 0.584537
0.502940, 0.488006
0.502950, 0.383027
0.502960, 0.415725
0.502970, 0.53329
0.502980, 0.603598
0.502990, 0.601074
0.503000, 0.525942
0.503010, 0.408814
0.503020, 0.387297
0.503030, 0.496195
0.503040, 0.5884
0.503050, 0.609775
0.503060, 0.558218
0.503070, 0.445618
0.503080, 0.375154
0.503090, 0.455812
0.503100, 0.565226
0.503110, 0.610631
0.503120, 0.583182
0.503130, 0.486179
0.503140, 0.382791
0.503150, 0.417425
0.503160, 0.534362
0.503170, 0.603568
0.503180, 0.600235
0.503190, 0.524658
0.503200, 0.408248
0.503210, 0.388329
0.503220, 0.497054
0.503230, 0.588429
0.503240, 0.609253
0.503250, 0.557441
0.503260, 0.445198
0.503270, 0.375724
0.503280, 0.456313
0.503290, 0.565119
0.503300, 0.610223
0.503310, 0.582763
0.503320, 0.486124
0.503330, 0.383306
0.503340, 0.417578
0.503350, 0.533936
0.503360, 0.603071
0.503370, 0.599983
0.503380, 0.524954
0.503390, 0.409084
0.503400, 0.388392
0.503410, 0.49619
0.503420, 0.58764
0.503430, 0.608966
0.503440, 0.557942
0.503450, 0.446508
0.503460, 0.37616
0.503470, 0.455047
0.503480, 0.563843
0.503490, 0.609699
0.503500, 0.583274
0.503510, 0.487817
0.503520, 0.384561
0.503530, 0.416216
0.503540, 0.532023
0.503550, 0.602102
0.503560, 0.6003
0.503570, 0.526802
0.503580, 0.411322
0.503590, 0.387542
0.503600, 0.493617
0.503610, 0.586017
0.503620, 0.608889
0.503630, 0.559683
0.503640, 0.449534
0.503650, 0.376548
0.503660, 0.45205
0.503670, 0.561375
0.503680, 0.609022
0.503690, 0.584666
0.503700, 0.49122
0.503710, 0.386647
0.503720, 0.413422
0.503730, 0.528599
0.503740, 0.600612
0.503750, 0.601128
0.503760, 0.530139
0.503770, 0.415019
0.503780, 0.385929
0.503790, 0.48933
0.503800, 0.583499
0.503810, 0.608949
0.503820, 0.562583
0.503830, 0.454279
0.503840, 0.377084
0.503850, 0.447375
0.503860, 0.557647
0.503870, 0.608108
0.503880, 0.586844
0.503890, 0.496281
0.503900, 0.389748
0.503910, 0.409345
0.503920, 0.523607
0.503930, 0.598504
0.503940, 0.602359
0.503950, 0.534871
0.503960, 0.420283
0.503970, 0.383807
0.503980, 0.483317
0.503990, 0.579978
0.504000, 0.609031
0.504010, 0.566519
0.504020, 0.46075
0.504030, 0.378075
0.504040, 0.441104
0.504050, 0.552552
0.504060, 0.606829
0.504070, 0.58967
0.504080, 0.502919
0.504090, 0.394119
0.504100, 0.404212
0.504110, 0.516965
0.504120, 0.595639
0.504130, 0.603847
0.504140, 0.54086
0.504150, 0.427244
0.504160, 0.381541
0.504170, 0.475572
0.504180, 0.575307
0.504190, 0.608975
0.504200, 0.571326
0.504210, 0.468936
0.504220, 0.379924
0.504230, 0.433378
0.504240, 0.545949
0.504250, 0.605016
0.504260, 0.592964
0.504270, 0.511017
0.504280, 0.400068
0.504290, 0.398359
0.504300, 0.50858
0.504310, 0.591832
0.504320, 0.605399
0.504330, 0.547928
0.504340, 0.436027
0.504350, 0.379619
0.504360, 0.466119
0.504370, 0.569296
0.504380, 0.608582
0.504390, 0.576793
0.504400, 0.478788
0.504410, 0.383118
0.504420, 0.424428
0.504430, 0.53767
0.504440, 0.602452
0.504450, 0.596501
0.504460, 0.520408
0.504470, 0.407911
0.504480, 0.392257
0.504490, 0.498363
0.504500, 0.586857
0.504510, 0.606783
0.504520, 0.555845
0.504530, 0.446713
0.504540, 0.37865
0.504550, 0.455052
0.504560, 0.561721
0.504570, 0.607605
0.504580, 0.582665
0.504590, 0.490192
0.504600, 0.388188
0.504610, 0.41462
0.504620, 0.527535
0.504630, 0.59888
0.504640, 0.600016
0.504650, 0.530865
0.504660, 0.417925
0.504670, 0.386541
0.504680, 0.486269
0.504690, 0.580447
0.504700, 0.607725
0.504710, 0.564333
0.504720, 0.459301
0.504730, 0.379351
0.504740, 0.442577
0.504750, 0.552331
0.504760, 0.605759
0.504770, 0.588646
0.504780, 0.502954
0.504790, 0.395657
0.504800, 0.404507
0.504810, 0.515378
0.504820, 0.593997
0.504830, 0.603203
0.504840, 0.542092
0.504850, 0.430292
0.504860, 0.382023
0.504870, 0.472334
0.504880, 0.572295
0.504890, 0.60791
0.504900, 0.57306
0.504910, 0.473673
0.504920, 0.382495
0.504930, 0.429084
0.504940, 0.540863
0.504950, 0.602712
0.504960, 0.594395
0.504970, 0.516783
0.504980, 0.405965
0.504990, 0.394872
0.505000, 0.50108
0.505010, 0.58746
0.505020, 0.605718
0.505030, 0.553731
0.505040, 0.445041
0.505050, 0.379669
0.505060, 0.456748
0.505070, 0.562073
0.505080, 0.606979
0.505090, 0.581651
0.505100, 0.489575
0.505110, 0.388833
0.505120, 0.415218
0.505130, 0.527076
0.505140, 0.598089
0.505150, 0.599534
0.505160, 0.531293
0.505170, 0.419377
0.505180, 0.386757
0.505190, 0.484637
0.505200, 0.578888
0.505210, 0.607175
0.505220, 0.565362
0.505230, 0.462004
0.505240, 0.380535
0.505250, 0.439946
0.505260, 0.549441
0.505270, 0.604532
0.505280, 0.589686
0.505290, 0.506604
0.505300, 0.398967
0.505310, 0.401952
0.505320, 0.510795
0.505330, 0.591473
0.505340, 0.603646
0.505350, 0.546011
0.505360, 0.435902
0.505370, 0.381436
0.505380, 0.466246
0.505390, 0.567873
0.505400, 0.607148
0.505410, 0.576513
0.505420, 0.480792
0.505430, 0.385626
0.505440, 0.422712
0.505450, 0.534092
0.505460, 0.600123
0.505470, 0.596711
0.505480, 0.524225
0.505490, 0.413215
0.505500, 0.390627
0.505510, 0.491997
0.505520, 0.582409
0.505530, 0.606279
0.505540, 0.560397
0.505550, 0.455238
0.505560, 0.380302
0.505570, 0.446436
0.505580, 0.554007
0.505590, 0.605169
0.505600, 0.586676
0.505610, 0.50081
0.505620, 0.395708
0.505630, 0.406286
0.505640, 0.515813
0.505650, 0.593262
0.505660, 0.602237
0.505670, 0.5418
0.505680, 0.43149
0.505690, 0.382904
0.505700, 0.470932
0.505710, 0.570415
0.505720, 0.606939
0.505730, 0.573863
0.505740, 0.476763
0.505750, 0.384652
0.505760, 0.426214
0.505770, 0.53693
0.505780, 0.60072
0.505790, 0.595314
0.505800, 0.521295
0.505810, 0.411093
0.505820, 0.39241
0.505830, 0.494602
0.505840, 0.583419
0.505850, 0.605742
0.505860, 0.558627
0.505870, 0.45324
0.505880, 0.38058
0.505890, 0.448307
0.505900, 0.555022
0.505910, 0.60509
0.505920, 0.585796
0.505930, 0.499581
0.505940, 0.395376
0.505950, 0.407208
0.505960, 0.516424
0.505970, 0.59324
0.505980, 0.601864
0.505990, 0.541384
0.506000, 0.431476
0.506010, 0.383237
0.506020, 0.470844
0.506030, 0.570047
0.506040, 0.606669
0.506050, 0.573978
0.506060, 0.477479
0.506070, 0.385238
0.506080, 0.425486
0.506090, 0.535843
0.506100, 0.600145
0.506110, 0.595572
0.506120, 0.522621
0.506130, 0.41266
0.506140, 0.391705
0.506150, 0.492578
0.506160, 0.582128
0.506170, 0.605737
0.506180, 0.560177
0.506190, 0.455903
0.506200, 0.38101
0.506210, 0.445554
0.506220, 0.552631
0.506230, 0.604412
0.506240, 0.587129
0.506250, 0.502908
0.506260, 0.397781
0.506270, 0.40466
0.506280, 0.51271
0.506290, 0.591469
0.506300, 0.602556
0.506310, 0.544747
0.506320, 0.435796
0.506330, 0.382446
0.506340, 0.466034
0.506350, 0.566776
0.506360, 0.60631
0.506370, 0.576798
0.506380, 0.482884
0.506390, 0.387502
0.506400, 0.420654
0.506410, 0.530798
0.506420, 0.598312
0.506430, 0.59737
0.506440, 0.528084
0.506450, 0.418042
0.506460, 0.388825
0.506470, 0.485916
0.506480, 0.578393
0.506490, 0.606093
0.506500, 0.564854
0.506510, 0.463233
0.506520, 0.382079
0.506530, 0.438335
0.506540, 0.546657
0.506550, 0.602906
0.506560, 0.590417
0.506570, 0.510628
0.506580, 0.403378
0.506590, 0.399132
0.506600, 0.504534
0.506610, 0.587661
0.506620, 0.604
0.506630, 0.551589
0.506640, 0.444645
0.506650, 0.381357
0.506660, 0.456581
0.506670, 0.560272
0.506680, 0.605492
0.506690, 0.58193
0.506700, 0.492853
0.506710, 0.392315
0.506720, 0.412245
0.506730, 0.521499
0.506740, 0.594791
0.506750, 0.600253
0.506760, 0.537315
0.506770, 0.427761
0.506780, 0.384839
0.506790, 0.47454
0.506800, 0.571733
0.506810, 0.606301
0.506820, 0.572143
0.506830, 0.475252
0.506840, 0.385084
0.506850, 0.427092
0.506860, 0.536633
0.506870, 0.600003
0.506880, 0.595067
0.506890, 0.522361
0.506900, 0.413124
0.506910, 0.3918
0.506920, 0.491625
0.506930, 0.581187
0.506940, 0.605548
0.506950, 0.561296
0.506960, 0.458309
0.506970, 0.381639
0.506980, 0.44275
0.506990, 0.549897
0.507000, 0.60351
0.507010, 0.588647
0.507020, 0.507071
0.507030, 0.401125
0.507040, 0.401411
0.507050, 0.507468
0.507060, 0.588811
0.507070, 0.603435
0.507080, 0.549631
0.507090, 0.442475
0.507100, 0.38169
0.507110, 0.45849
0.507120, 0.561346
0.507130, 0.605519
0.507140, 0.581193
0.507150, 0.491787
0.507160, 0.391984
0.507170, 0.412846
0.507180, 0.521874
0.507190, 0.594793
0.507200, 0.600154
0.507210, 0.537396
0.507220, 0.428136
0.507230, 0.384769
0.507240, 0.473776
0.507250, 0.571089
0.507260, 0.606221
0.507270, 0.572902
0.507280, 0.476843
0.507290, 0.385737
0.507300, 0.42536
0.507310, 0.534768
0.507320, 0.599318
0.507330, 0.595886
0.507340, 0.524839
0.507350, 0.415585
0.507360, 0.390306
0.507370, 0.488242
0.507380, 0.579265
0.507390, 0.6058
0.507400, 0.563969
0.507410, 0.462547
0.507420, 0.382253
0.507430, 0.43833
0.507440, 0.546162
0.507450, 0.602567
0.507460, 0.590804
0.507470, 0.512199
0.507480, 0.405014
0.507490, 0.397699
0.507500, 0.501666
0.507510, 0.586027
0.507520, 0.604425
0.507530, 0.554584
0.507540, 0.449163
0.507550, 0.381272
0.507560, 0.451263
0.507570, 0.55612
0.507580, 0.604709
0.507590, 0.585075
0.507600, 0.499707
0.507610, 0.396499
0.507620, 0.406375
0.507630, 0.51393
0.507640, 0.59153
0.507650, 0.602255
0.507660, 0.54493
0.507670, 0.436904
0.507680, 0.382441
0.507690, 0.4638
0.507700, 0.564739
0.507710, 0.605905
0.507720, 0.578856
0.507730, 0.487571
0.507740, 0.390014
0.507750, 0.415821
0.507760, 0.524996
0.507770, 0.595926
0.507780, 0.599441
0.507790, 0.535183
0.507800, 0.42592
0.507810, 0.38536
0.507820, 0.475688
0.507830, 0.572133
0.507840, 0.606302
0.507850, 0.5723
0.507860, 0.475975
0.507870, 0.385439
0.507880, 0.425604
0.507890, 0.534879
0.507900, 0.59936
0.507910, 0.596125
0.507920, 0.525508
0.507930, 0.416299
0.507940, 0.389621
0.507950, 0.486768
0.507960, 0.578423
0.507970, 0.606041
0.507980, 0.565551
0.507990, 0.46507
0.508000, 0.382586
0.508010, 0.435378
0.508020, 0.543628
0.508030, 0.601969
0.508040, 0.592438
0.508050, 0.516054
0.508060, 0.408062
0.508070, 0.394834
0.508080, 0.496949
0.508090, 0.583729
0.508100, 0.605251
0.508110, 0.558743
0.508120, 0.454972
0.508130, 0.381221
0.508140, 0.444878
0.508150, 0.551312
0.508160, 0.603879
0.508170, 0.588505
0.508180, 0.506954
0.508190, 0.401175
0.508200, 0.400645
0.508210, 0.506192
0.508220, 0.58817
0.508230, 0.60405
0.508240, 0.552002
0.508250, 0.445762
0.508260, 0.381082
0.508270, 0.453911
0.508280, 0.558015
0.508290, 0.605209
0.508300, 0.584442
0.508310, 0.498322
0.508320, 0.395558
0.508330, 0.406751
0.508340, 0.514496
0.508350, 0.591855
0.508360, 0.602549
0.508370, 0.545443
0.508380, 0.437484
0.508390, 0.381906
0.508400, 0.46234
0.508410, 0.563822
0.508420, 0.606066
0.508430, 0.580357
0.508440, 0.490252
0.508450, 0.391095
0.508460, 0.412897
0.508470, 0.521883
0.508480, 0.594888
0.508490, 0.60085
0.508500, 0.539167
0.508510, 0.43015
0.508520, 0.383437
0.508530, 0.470076
0.508540, 0.568818
0.508550, 0.606549
0.508560, 0.576346
0.508570, 0.482816
0.508580, 0.387646
0.508590, 0.418878
0.508600, 0.52839
0.508610, 0.597365
0.508620, 0.599045
0.508630, 0.533264
0.508640, 0.423745
0.508650, 0.385439
0.508660, 0.477068
0.508670, 0.573085
0.508680, 0.606747
0.508690, 0.572501
0.508700, 0.47607
0.508710, 0.385058
0.508720, 0.424532
0.508730, 0.534063
0.508740, 0.59937
0.508750, 0.597218
0.508760, 0.527814
0.508770, 0.418232
0.508780, 0.387703
0.508790, 0.483287
0.508800, 0.5767
0.508810, 0.606739
0.508820, 0.5689
0.508830, 0.47005
0.508840, 0.383178
0.508850, 0.429737
0.508860, 0.538952
0.508870, 0.60098
0.508880, 0.595445
0.508890, 0.522881
0.508900, 0.41356
0.508910, 0.390045
0.508920, 0.488725
0.508930, 0.579733
0.508940, 0.606597
0.508950, 0.565613
0.508960, 0.46478
0.508970, 0.381858
0.508980, 0.434399
0.508990, 0.543105
0.509000, 0.602264
0.509010, 0.593793
0.509020, 0.51852
0.509030, 0.409667
0.509040, 0.392314
0.509050, 0.493384
0.509060, 0.582244
0.509070, 0.606383
0.509080, 0.562702
0.509090, 0.460269
0.509100, 0.380959
0.509110, 0.438451
0.509120, 0.546568
0.509130, 0.603279
0.509140, 0.592319
0.509150, 0.514775
0.509160, 0.406488
0.509170, 0.394384
0.509180, 0.497273
0.509190, 0.584288
0.509200, 0.60615
0.509210, 0.560218
0.509220, 0.456521
0.509230, 0.380362
0.509240, 0.441844
0.509250, 0.549381
0.509260, 0.604075
0.509270, 0.591072
0.509280, 0.511682
0.509290, 0.403963
0.509300, 0.396153
0.509310, 0.500405
0.509320, 0.58591
0.509330, 0.605943
0.509340, 0.558204
0.509350, 0.453533
0.509360, 0.379962
0.509370, 0.444544
0.509380, 0.551581
0.509390, 0.604693
0.509400, 0.590092
0.509410, 0.509267
0.509420, 0.402035
0.509430, 0.397544
0.509440, 0.502793
0.509450, 0.587145
0.509460, 0.605798
0.509470, 0.556694
0.509480, 0.451298
0.509490, 0.379678
0.509500, 0.446526
0.509510, 0.553193
0.509520, 0.605164
0.509530, 0.589412
0.509540, 0.507551
0.509550, 0.40066
0.509560, 0.398499
0.509570, 0.504446
0.509580, 0.588021
0.509590, 0.605741
0.509600, 0.555714
0.509610, 0.449812
0.509620, 0.379448
0.509630, 0.447776
0.509640, 0.554239
0.509650, 0.605511
0.509660, 0.589053
0.509670, 0.506547
0.509680, 0.399804
0.509690, 0.398978
0.509700, 0.505373
0.509710, 0.588556
0.509720, 0.605791
0.509730, 0.555281
0.509740, 0.449072
0.509750, 0.379231
0.509760, 0.448283
0.509770, 0.55473
0.509780, 0.605749
0.509790, 0.589031
0.509800, 0.506265
0.509810, 0.399448
0.509820, 0.398957
0.509830, 0.505576
0.509840, 0.58876
0.509850, 0.605957
0.509860, 0.555405
0.509870, 0.449077
0.509880, 0.37901
0.509890, 0.448039
0.509900, 0.554671
0.509910, 0.605881
0.509920, 0.589349
0.509930, 0.50671
0.509940, 0.399591
0.509950, 0.398429
0.509960, 0.505054
0.509970, 0.588633
0.509980, 0.60624
0.509990, 0.556087
0.510000, 0.449833
0.510010, 0.378788
0.510020, 0.447043
0.510030, 0.554058
0.510040, 0.605905
0.510050, 0.590005
0.510060, 0.507883
0.510070, 0.400245
0.510080, 0.397401
0.510090, 0.5038
0.510100, 0.588167
0.510110, 0.606632
0.510120, 0.55732
0.510130, 0.451347
0.510140, 0.378592
0.510150, 0.445294
0.510160, 0.552877
0.510170, 0.605807
0.510180, 0.590987
0.510190, 0.509778
0.510200, 0.401439
0.510210, 0.3959
0.510220, 0.501802
0.510230, 0.587344
0.510240, 0.607116
0.510250, 0.559089
0.510260, 0.453631
0.510270, 0.378469
0.510280, 0.442799
0.510290, 0.551108
0.510300, 0.605567
0.510310, 0.592273
0.510320, 0.512387
0.510330, 0.403216
0.510340, 0.393965
0.510350, 0.499045
0.510360, 0.586137
0.510370, 0.607667
0.510380, 0.561372
0.510390, 0.456696
0.510400, 0.378491
0.510410, 0.439568
0.510420, 0.548722
0.510430, 0.605153
0.510440, 0.593832
0.510450, 0.515692
0.510460, 0.405633
0.510470, 0.391659
0.510480, 0.49551
0.510490, 0.584511
0.510500, 0.608249
0.510510, 0.564136
0.510520, 0.460556
0.510530, 0.378751
0.510540, 0.435622
0.510550, 0.545682
0.510560, 0.604526
0.510570, 0.595627
0.510580, 0.51967
0.510590, 0.408755
0.510600, 0.389066
0.510610, 0.491177
0.510620, 0.582422
0.510630, 0.608819
0.510640, 0.567341
0.510650, 0.465218
0.510660, 0.379363
0.510670, 0.430995
0.510680, 0.541944
0.510690, 0.603637
0.510700, 0.597609
0.510710, 0.524289
0.510720, 0.412653
0.510730, 0.386296
0.510740, 0.486027
0.510750, 0.579814
0.510760, 0.609325
0.510770, 0.570934
0.510780, 0.470685
0.510790, 0.380462
0.510800, 0.425736
0.510810, 0.537459
0.510820, 0.602429
0.510830, 0.59972
0.510840, 0.529506
0.510850, 0.417399
0.510860, 0.383486
0.510870, 0.480045
0.510880, 0.576627
0.510890, 0.609705
0.510900, 0.574856
0.510910, 0.476948
0.510920, 0.3822
0.510930, 0.419917
0.510940, 0.532171
0.510950, 0.600834
0.510960, 0.601895
0.510970, 0.535265
0.510980, 0.423063
0.510990, 0.380805
0.511000, 0.473224
0.511010, 0.572787
0.511020, 0.60989
0.511030, 0.579037
0.511040, 0.483986
0.511050, 0.384739
0.511060, 0.413639
0.511070, 0.526024
0.511080, 0.598776
0.511090, 0.604059
0.511100, 0.541502
0.511110, 0.4297
0.511120, 0.378453
0.511130, 0.465572
0.511140, 0.568217
0.511150, 0.6098
0.511160, 0.583396
0.511170, 0.491761
0.511180, 0.388248
0.511190, 0.40704
0.511200, 0.518959
0.511210, 0.596168
0.511220, 0.606128
0.511230, 0.548135
0.511240, 0.43735
0.511250, 0.376664
0.511260, 0.457118
0.511270, 0.562829
0.511280, 0.609346
0.511290, 0.587844
0.511300, 0.500215
0.511310, 0.392891
0.511320, 0.400301
0.511330, 0.510925
0.511340, 0.592915
0.511350, 0.60801
0.511360, 0.555073
0.511370, 0.446027
0.511380, 0.3757
0.511390, 0.447922
0.511400, 0.556531
0.511410, 0.608429
0.511420, 0.592281
0.511430, 0.50927
0.511440, 0.398816
0.511450, 0.393655
0.511460, 0.501879
0.511470, 0.588912
0.511480, 0.609603
0.511490, 0.562209
0.511500, 0.455713
0.511510, 0.375842
0.511520, 0.438087
0.511530, 0.549226
0.511540, 0.606943
0.511550, 0.596599
